"nivel","enunciado","resposta","resolucao"
"1","A função representada no diagrama é injetora (injeção)? [imagem]","Sim","Uma função é injetora quando elementos distintos do domínio têm imagens distintas no contradomínio. \(\\\)Analisando o diagrama: cada elemento de \(B\) recebe no máximo uma seta. \(\\\)Portanto, a função \(\textbf{é}\) injetora."
"1","A relação representada no diagrama de setas é uma função? [imagem]","Sim","Uma função associa cada elemento do domínio a \(\textbf{exatamente um}\) elemento do contradomínio. \(\\\)Analisando o diagrama: cada elemento de \(A\) possui exatamente uma seta saindo. \(\\\)Portanto, a relação \(\textbf{é}\) uma função."
"1","Qual é a imagem de \(f\)? [imagem]","\(\{2, 3, 6\}\)","A imagem de \(f\) é o conjunto dos valores de \(B\) efetivamente atingidos por alguma seta. \(\\\)Lendo o diagrama: \(f(1) = 2, \;f(9) = 6, \;f(14) = 3\). \(\\\)Os valores distintos atingidos são \(2, 3, 6\). \(\\\)Portanto, \(\text{Im}(f) = \{2, 3, 6\}\)."
"1","A relação representada no diagrama de setas é uma função? [imagem]","Sim","Uma função associa cada elemento do domínio a \(\textbf{exatamente um}\) elemento do contradomínio. \(\\\)Analisando o diagrama: cada elemento de \(A\) possui exatamente uma seta saindo. \(\\\)Portanto, a relação \(\textbf{é}\) uma função."
"1","A relação representada no diagrama de setas é uma função? [imagem]","Sim","Uma função associa cada elemento do domínio a \(\textbf{exatamente um}\) elemento do contradomínio. \(\\\)Analisando o diagrama: cada elemento de \(A\) possui exatamente uma seta saindo. \(\\\)Portanto, a relação \(\textbf{é}\) uma função."
"1","Qual é a imagem de \(f\)? [imagem]","\(\{1, 6, 9\}\)","A imagem de \(f\) é o conjunto dos valores de \(B\) efetivamente atingidos por alguma seta. \(\\\)Lendo o diagrama: \(f(10) = 6, \;f(15) = 1, \;f(3) = 9\). \(\\\)Os valores distintos atingidos são \(1, 6, 9\). \(\\\)Portanto, \(\text{Im}(f) = \{1, 6, 9\}\)."
"1","Qual é a imagem de \(f\)? [imagem]","\(\{1, 12\}\)","A imagem de \(f\) é o conjunto dos valores de \(B\) efetivamente atingidos por alguma seta. \(\\\)Lendo o diagrama: \(f(5) = 12, \;f(7) = 12, \;f(12) = 1, \;f(1) = 12\). \(\\\)Os valores distintos atingidos são \(1, 12\). \(\\\)Portanto, \(\text{Im}(f) = \{1, 12\}\)."
"1","A função representada no diagrama é injetora (injeção)? [imagem]","Sim","Uma função é injetora quando elementos distintos do domínio têm imagens distintas no contradomínio. \(\\\)Analisando o diagrama: cada elemento de \(B\) recebe no máximo uma seta. \(\\\)Portanto, a função \(\textbf{é}\) injetora."
"1","No diagrama de setas, qual o valor de \(f(3)\)? [imagem]","13","Observando o diagrama, o elemento \(3\) possui seta apontando para \(13\). \(\\\)Portanto, \(f(3) = 13\)."
"1","Qual é a imagem de \(f\)? [imagem]","\(\{2, 5, 11\}\)","A imagem de \(f\) é o conjunto dos valores de \(B\) efetivamente atingidos por alguma seta. \(\\\)Lendo o diagrama: \(f(15) = 2, \;f(12) = 2, \;f(14) = 5, \;f(1) = 11\). \(\\\)Os valores distintos atingidos são \(2, 5, 11\). \(\\\)Portanto, \(\text{Im}(f) = \{2, 5, 11\}\)."
"1","A função representada no diagrama é injetora (injeção)? [imagem]","Não","Uma função é injetora quando elementos distintos do domínio têm imagens distintas no contradomínio. \(\\\)No diagrama, \(3\) e \(7\) apontam ambos para \(11\): dois elementos com a mesma imagem. \(\\\)Portanto, a função \(\textbf{não é}\) injetora."
"1","Qual é a imagem de \(f\)? [imagem]","\(\{5, 13\}\)","A imagem de \(f\) é o conjunto dos valores de \(B\) efetivamente atingidos por alguma seta. \(\\\)Lendo o diagrama: \(f(14) = 5, \;f(1) = 5, \;f(15) = 13, \;f(3) = 13\). \(\\\)Os valores distintos atingidos são \(5, 13\). \(\\\)Portanto, \(\text{Im}(f) = \{5, 13\}\)."
"1","A relação representada no diagrama de setas é uma função? [imagem]","Não","Uma função associa cada elemento do domínio a \(\textbf{exatamente um}\) elemento do contradomínio. \(\\\)No diagrama, o elemento \(10\) possui setas para \(4\) e \(14\): duas imagens distintas. \(\\\)Portanto, a relação \(\textbf{não é}\) uma função."
"1","Qual é a imagem de \(f\)? [imagem]","\(\{4, 7, 9\}\)","A imagem de \(f\) é o conjunto dos valores de \(B\) efetivamente atingidos por alguma seta. \(\\\)Lendo o diagrama: \(f(9) = 9, \;f(12) = 9, \;f(10) = 4, \;f(5) = 7\). \(\\\)Os valores distintos atingidos são \(4, 7, 9\). \(\\\)Portanto, \(\text{Im}(f) = \{4, 7, 9\}\)."
"1","No diagrama de setas, qual o valor de \(f(12)\)? [imagem]","7","Observando o diagrama, o elemento \(12\) possui seta apontando para \(7\). \(\\\)Portanto, \(f(12) = 7\)."
"1","A relação representada no diagrama de setas é uma função? [imagem]","Sim","Uma função associa cada elemento do domínio a \(\textbf{exatamente um}\) elemento do contradomínio. \(\\\)Analisando o diagrama: cada elemento de \(A\) possui exatamente uma seta saindo. \(\\\)Portanto, a relação \(\textbf{é}\) uma função."
"1","No diagrama de setas, qual o valor de \(f(13)\)? [imagem]","1","Observando o diagrama, o elemento \(13\) possui seta apontando para \(1\). \(\\\)Portanto, \(f(13) = 1\)."
"1","A função representada no diagrama é injetora (injeção)? [imagem]","Não","Uma função é injetora quando elementos distintos do domínio têm imagens distintas no contradomínio. \(\\\)No diagrama, \(1\) e \(5\) apontam ambos para \(5\): dois elementos com a mesma imagem. \(\\\)Portanto, a função \(\textbf{não é}\) injetora."
"1","A função representada no diagrama é injetora (injeção)? [imagem]","Não","Uma função é injetora quando elementos distintos do domínio têm imagens distintas no contradomínio. \(\\\)No diagrama, \(5\) e \(3\) apontam ambos para \(13\): dois elementos com a mesma imagem. \(\\\)Portanto, a função \(\textbf{não é}\) injetora."
"1","A relação representada no diagrama de setas é uma função? [imagem]","Não","Uma função associa cada elemento do domínio a \(\textbf{exatamente um}\) elemento do contradomínio. \(\\\)No diagrama, o elemento \(8\) possui setas para \(4\) e \(10\): duas imagens distintas. \(\\\)Portanto, a relação \(\textbf{não é}\) uma função."
"1","Qual é a imagem de \(f\)? [imagem]","\(\{1, 7, 10\}\)","A imagem de \(f\) é o conjunto dos valores de \(B\) efetivamente atingidos por alguma seta. \(\\\)Lendo o diagrama: \(f(6) = 10, \;f(4) = 10, \;f(15) = 7, \;f(8) = 1\). \(\\\)Os valores distintos atingidos são \(1, 7, 10\). \(\\\)Portanto, \(\text{Im}(f) = \{1, 7, 10\}\)."
"1","No diagrama de setas, qual o valor de \(f(11)\)? [imagem]","7","Observando o diagrama, o elemento \(11\) possui seta apontando para \(7\). \(\\\)Portanto, \(f(11) = 7\)."
"1","A função representada no diagrama é injetora (injeção)? [imagem]","Não","Uma função é injetora quando elementos distintos do domínio têm imagens distintas no contradomínio. \(\\\)No diagrama, \(15\) e \(11\) apontam ambos para \(4\): dois elementos com a mesma imagem. \(\\\)Portanto, a função \(\textbf{não é}\) injetora."
"1","No diagrama de setas, qual o valor de \(f(7)\)? [imagem]","4","Observando o diagrama, o elemento \(7\) possui seta apontando para \(4\). \(\\\)Portanto, \(f(7) = 4\)."
"1","A relação representada no diagrama de setas é uma função? [imagem]","Não","Uma função associa cada elemento do domínio a \(\textbf{exatamente um}\) elemento do contradomínio. \(\\\)No diagrama, o elemento \(10\) possui setas para \(3\) e \(5\): duas imagens distintas. \(\\\)Portanto, a relação \(\textbf{não é}\) uma função."
"1","A relação representada no diagrama de setas é uma função? [imagem]","Não","Uma função associa cada elemento do domínio a \(\textbf{exatamente um}\) elemento do contradomínio. \(\\\)No diagrama, o elemento \(13\) possui setas para \(9\) e \(6\): duas imagens distintas. \(\\\)Portanto, a relação \(\textbf{não é}\) uma função."
"1","A função representada no diagrama é injetora (injeção)? [imagem]","Não","Uma função é injetora quando elementos distintos do domínio têm imagens distintas no contradomínio. \(\\\)No diagrama, \(9\) e \(1\) apontam ambos para \(14\): dois elementos com a mesma imagem. \(\\\)Portanto, a função \(\textbf{não é}\) injetora."
"1","A relação representada no diagrama de setas é uma função? [imagem]","Sim","Uma função associa cada elemento do domínio a \(\textbf{exatamente um}\) elemento do contradomínio. \(\\\)Analisando o diagrama: cada elemento de \(A\) possui exatamente uma seta saindo. \(\\\)Portanto, a relação \(\textbf{é}\) uma função."
"1","No diagrama de setas, qual o valor de \(f(4)\)? [imagem]","15","Observando o diagrama, o elemento \(4\) possui seta apontando para \(15\). \(\\\)Portanto, \(f(4) = 15\)."
"1","A relação representada no diagrama de setas é uma função? [imagem]","Não","Uma função associa cada elemento do domínio a \(\textbf{exatamente um}\) elemento do contradomínio. \(\\\)No diagrama, o elemento \(5\) possui setas para \(9\) e \(13\): duas imagens distintas. \(\\\)Portanto, a relação \(\textbf{não é}\) uma função."
"2","Sendo \(f(x) = 6x - 3\), calcule \(f(3)\)","\(15\)","Substituindo \(x = 3\) em \(f(x) = 6x - 3\): \(\\\)\(f(3) = 6 \cdot 3 - 3 = 18 - 3 = 15\)."
"2","Sendo \(f(x) = 3x - 1\), calcule \(f(2)\)","\(5\)","Substituindo \(x = 2\) em \(f(x) = 3x - 1\): \(\\\)\(f(2) = 3 \cdot 2 - 1 = 6 - 1 = 5\)."
