"nivel","enunciado","resposta","resolucao"
"1","Expanda a expressão usando casos notáveis. \((5x + 8)^2\)","\(25x^2+80x+64\)","Usando o caso notável \((a+b)^2 = a^2 + 2ab + b^2\):\(\\\)\(a = 5x, \quad b = 8\)\(\\\)\((5x)^2 + 2 \cdot 5x \cdot 8 + 8^2 = \mathbf{25x^2+80x+64}\)"
"1","Simplifique combinando os termos semelhantes. \(5x^2+2x+5x^2-4x\)","\(10x^2-2x\)","Agrupando os termos semelhantes:\(\\\)Termos em \(x^2\): \(5x^2+5x^2 = 10x^2\)\(\\\)Termos em \(x\): \(2x-4x = -2x\)\(\\\)\(\mathbf{10x^2-2x}\)"
"1","Expanda a expressão usando casos notáveis. \((4x + 7)(4x - 7)\)","\(16x^2-49\)","Usando o caso notável \((a+b)(a-b) = a^2 - b^2\):\(\\\)\(a = 4x, \quad b = 7\)\(\\\)\((4x)^2 - 7^2 = \mathbf{16x^2-49}\)"
"1","Expanda a expressão usando casos notáveis. \((5x + 4)(5x - 4)\)","\(25x^2-16\)","Usando o caso notável \((a+b)(a-b) = a^2 - b^2\):\(\\\)\(a = 5x, \quad b = 4\)\(\\\)\((5x)^2 - 4^2 = \mathbf{25x^2-16}\)"
"1","Qual o grau do polinômio \(p(x)\)? \(p(x) = 2x^4+3x^3-x^2+4x-2\)","\(4\)","O maior expoente com coeficiente não nulo é \(4\). Portanto, o grau de \(p(x)\) é \(\mathbf{4}\)."
"1","Expanda a expressão usando casos notáveis. \((5x + 9)^2\)","\(25x^2+90x+81\)","Usando o caso notável \((a+b)^2 = a^2 + 2ab + b^2\):\(\\\)\(a = 5x, \quad b = 9\)\(\\\)\((5x)^2 + 2 \cdot 5x \cdot 9 + 9^2 = \mathbf{25x^2+90x+81}\)"
"1","Expanda a expressão usando casos notáveis. \((4x + 6)^2\)","\(16x^2+48x+36\)","Usando o caso notável \((a+b)^2 = a^2 + 2ab + b^2\):\(\\\)\(a = 4x, \quad b = 6\)\(\\\)\((4x)^2 + 2 \cdot 4x \cdot 6 + 6^2 = \mathbf{16x^2+48x+36}\)"
"1","Expanda a expressão usando casos notáveis. \((4x + 3)^2\)","\(16x^2+24x+9\)","Usando o caso notável \((a+b)^2 = a^2 + 2ab + b^2\):\(\\\)\(a = 4x, \quad b = 3\)\(\\\)\((4x)^2 + 2 \cdot 4x \cdot 3 + 3^2 = \mathbf{16x^2+24x+9}\)"
"1","Qual o grau do polinômio \(p(x)\)? \(p(x) = 5x^3-2x^2+4x+1\)","\(3\)","O maior expoente com coeficiente não nulo é \(3\). Portanto, o grau de \(p(x)\) é \(\mathbf{3}\)."
"1","Qual o grau do polinômio \(p(x)\)? \(p(x) = 5x^3+4x^2-2x-4\)","\(3\)","O maior expoente com coeficiente não nulo é \(3\). Portanto, o grau de \(p(x)\) é \(\mathbf{3}\)."
