"nivel","enunciado","resposta","resolucao"
"1","Use a fórmula \(\operatorname{tg}(a-b) = \dfrac{\operatorname{tg}\,a - \operatorname{tg}\,b}{1 + \operatorname{tg}\,a\cdot\operatorname{tg}\,b}\) para calcular \(\operatorname{tg}(15°) = \operatorname{tg}(45°-30°)\).","\(2-\sqrt{3}\)","Aplicando a fórmula com \(\operatorname{tg}(45°)=1\) e \(\operatorname{tg}(30°)=\dfrac{\sqrt{3}}{3}\):\(\\\)\(\operatorname{tg}(15°) = \dfrac{1 - \dfrac{\sqrt{3}}{3}}{1 + 1 \cdot \dfrac{\sqrt{3}}{3}} = \\\dfrac{\dfrac{3-\sqrt{3}}{3}}{\dfrac{3+\sqrt{3}}{3}} = \dfrac{3-\sqrt{3}}{3+\sqrt{3}} = \\\dfrac{(3-\sqrt{3})^2}{(3+\sqrt{3})(3-\sqrt{3})} = \dfrac{12-6\sqrt{3}}{6} = \mathbf{2-\sqrt{3}}\)"
"1","Use a fórmula \(\operatorname{tg}(a+b) = \dfrac{\operatorname{tg}\,a + \operatorname{tg}\,b}{1 - \operatorname{tg}\,a\cdot\operatorname{tg}\,b}\) para calcular \(\operatorname{tg}(75°) = \operatorname{tg}(45°+30°)\).","\(2+\sqrt{3}\)","Aplicando a fórmula com \(\operatorname{tg}(45°)=1\) e \(\operatorname{tg}(30°)=\dfrac{\sqrt{3}}{3}\):\(\\\)\(\operatorname{tg}(75°) = \dfrac{1 + \dfrac{\sqrt{3}}{3}}{1 - 1 \cdot \dfrac{\sqrt{3}}{3}} = \\\dfrac{\dfrac{3+\sqrt{3}}{3}}{\dfrac{3-\sqrt{3}}{3}} = \dfrac{3+\sqrt{3}}{3-\sqrt{3}} = \\\dfrac{(3+\sqrt{3})^2}{(3-\sqrt{3})(3+\sqrt{3})} = \dfrac{12+6\sqrt{3}}{6} = \mathbf{2+\sqrt{3}}\)"
"1","Use a fórmula \(\operatorname{tg}(a-b) = \dfrac{\operatorname{tg}\,a - \operatorname{tg}\,b}{1 + \operatorname{tg}\,a\cdot\operatorname{tg}\,b}\) para calcular \(\operatorname{tg}(15°) = \operatorname{tg}(45°-30°)\).","\(2-\sqrt{3}\)","Aplicando a fórmula com \(\operatorname{tg}(45°)=1\) e \(\operatorname{tg}(30°)=\dfrac{\sqrt{3}}{3}\):\(\\\)\(\operatorname{tg}(15°) = \dfrac{1 - \dfrac{\sqrt{3}}{3}}{1 + 1 \cdot \dfrac{\sqrt{3}}{3}} = \\\dfrac{\dfrac{3-\sqrt{3}}{3}}{\dfrac{3+\sqrt{3}}{3}} = \dfrac{3-\sqrt{3}}{3+\sqrt{3}} = \\\dfrac{(3-\sqrt{3})^2}{(3+\sqrt{3})(3-\sqrt{3})} = \dfrac{12-6\sqrt{3}}{6} = \mathbf{2-\sqrt{3}}\)"
"1","Use a fórmula \(\cos(2a) = \cos^2 a - \operatorname{sen}^2 a\) para calcular \(\cos(2 \cdot 45°)\).","\(0\)","Pela fórmula \(\cos(2a) = \cos^2 a - \operatorname{sen}^2 a\):\(\\\)\(\cos(2 \cdot 45°) = \left(\dfrac{\sqrt{2}}{2}\right)^2 - \left(\dfrac{\sqrt{2}}{2}\right)^2 = \\\dfrac{1}{2} - \dfrac{1}{2} = \mathbf{0}\)"
"1","Usando a fórmula de bissecção \(\cos^2 a = \dfrac{1 + \cos(2a)}{2}\), calcule \(\cos^2(60°)\).","\(\dfrac{1}{4}\)","Fazendo \(a = 60°\), temos \(2a = 120°\) e \(\cos(120°) = -\dfrac{1}{2}\):\(\\\)\(\cos^2(60°) = \dfrac{1 - \dfrac{1}{2}}{2} = \dfrac{\dfrac{1}{2}}{2} = \mathbf{\dfrac{1}{4}}\)"
"1","Qual é a expansão de \(\operatorname{sen}(\alpha-\beta)\)?","\(\operatorname{sen}\,\alpha\cos\beta - \cos\alpha\,\operatorname{sen}\,\beta\)","Pela fórmula de adição/subtração trigonométrica:\(\\\)\(\operatorname{sen}(\alpha-\beta) = \operatorname{sen}\,\alpha\cos\beta - \cos\alpha\,\operatorname{sen}\,\beta\)"
"1","Use a fórmula de duplicação para calcular \(\operatorname{sen}(2 \cdot 30°)\).","\(\dfrac{\sqrt{3}}{2}\)","Pela fórmula \(\operatorname{sen}(2a) = 2\operatorname{sen}\,a\cos a\):\(\\\)\(\operatorname{sen}(2 \cdot 30°) = 2 \cdot \dfrac{1}{2} \cdot \dfrac{\sqrt{3}}{2} = \mathbf{\dfrac{\sqrt{3}}{2}}\)"
"1","Qual é a expansão de \(\operatorname{sen}(\alpha+\beta)\)?","\(\operatorname{sen}\,\alpha\cos\beta + \cos\alpha\,\operatorname{sen}\,\beta\)","Pela fórmula de adição/subtração trigonométrica:\(\\\)\(\operatorname{sen}(\alpha+\beta) = \operatorname{sen}\,\alpha\cos\beta + \cos\alpha\,\operatorname{sen}\,\beta\)"
"1","Qual é a expansão de \(\cos(\alpha+\beta)\)?","\(\cos\alpha\cos\beta - \operatorname{sen}\,\alpha\,\operatorname{sen}\,\beta\)","Pela fórmula de adição/subtração trigonométrica:\(\\\)\(\cos(\alpha+\beta) = \cos\alpha\cos\beta - \operatorname{sen}\,\alpha\,\operatorname{sen}\,\beta\)"
"1","Use a fórmula \(\operatorname{tg}(a+b) = \dfrac{\operatorname{tg}\,a + \operatorname{tg}\,b}{1 - \operatorname{tg}\,a\cdot\operatorname{tg}\,b}\) para calcular \(\operatorname{tg}(75°) = \operatorname{tg}(45°+30°)\).","\(2+\sqrt{3}\)","Aplicando a fórmula com \(\operatorname{tg}(45°)=1\) e \(\operatorname{tg}(30°)=\dfrac{\sqrt{3}}{3}\):\(\\\)\(\operatorname{tg}(75°) = \dfrac{1 + \dfrac{\sqrt{3}}{3}}{1 - 1 \cdot \dfrac{\sqrt{3}}{3}} = \\\dfrac{\dfrac{3+\sqrt{3}}{3}}{\dfrac{3-\sqrt{3}}{3}} = \dfrac{3+\sqrt{3}}{3-\sqrt{3}} = \\\dfrac{(3+\sqrt{3})^2}{(3-\sqrt{3})(3+\sqrt{3})} = \dfrac{12+6\sqrt{3}}{6} = \mathbf{2+\sqrt{3}}\)"
"1","Use a fórmula \(\cos(2a) = \cos^2 a - \operatorname{sen}^2 a\) para calcular \(\cos(2 \cdot 30°)\).","\(\dfrac{1}{2}\)","Pela fórmula \(\cos(2a) = \cos^2 a - \operatorname{sen}^2 a\):\(\\\)\(\cos(2 \cdot 30°) = \left(\dfrac{\sqrt{3}}{2}\right)^2 - \left(\dfrac{1}{2}\right)^2 = \\\dfrac{3}{4} - \dfrac{1}{4} = \mathbf{\dfrac{1}{2}}\)"
"1","Use a fórmula de duplicação \(\operatorname{tg}(2a) = \dfrac{2\operatorname{tg}\,a}{1 - \operatorname{tg}^2 a}\) para calcular \(\operatorname{tg}(2 \cdot 30°)\).","\(\sqrt{3}\)","Com \(\operatorname{tg}(30°) = \dfrac{\sqrt{3}}{3}\):\(\\\)\(\operatorname{tg}(2 \cdot 30°) = \dfrac{2 \cdot \dfrac{\sqrt{3}}{3}}{1 - \left(\dfrac{\sqrt{3}}{3}\right)^2 = 1 - \dfrac{1}{3} = \dfrac{2}{3}} = \mathbf{\sqrt{3}}\)"
"1","Qual é a expansão de \(\operatorname{sen}(\alpha+\beta)\)?","\(\operatorname{sen}\,\alpha\cos\beta + \cos\alpha\,\operatorname{sen}\,\beta\)","Pela fórmula de adição/subtração trigonométrica:\(\\\)\(\operatorname{sen}(\alpha+\beta) = \operatorname{sen}\,\alpha\cos\beta + \cos\alpha\,\operatorname{sen}\,\beta\)"
"1","Calcule \(\operatorname{sen}(75°)\) usando a fórmula de adição \(\operatorname{sen}(45°+30°)\).","\(\dfrac{\sqrt{6}+\sqrt{2}}{4}\)","Aplicando \(\operatorname{sen}(a+b) = \operatorname{sen}\,a\cos b + \cos a\,\operatorname{sen}\,b\):\(\\\)\(\operatorname{sen}(45°+30°) = \\\dfrac{\sqrt{2}}{2}\cdot\dfrac{\sqrt{3}}{2} + \dfrac{\sqrt{2}}{2}\cdot\dfrac{1}{2} = \\\dfrac{\sqrt{6}}{4} + \dfrac{\sqrt{2}}{4} = \mathbf{\dfrac{\sqrt{6}+\sqrt{2}}{4}}\)"
"1","Calcule \(\operatorname{sen}(15°)\) usando a fórmula de subtração \(\operatorname{sen}(45°-30°)\).","\(\dfrac{\sqrt{6}-\sqrt{2}}{4}\)","Aplicando \(\operatorname{sen}(a-b) = \operatorname{sen}\,a\cos b - \cos a\,\operatorname{sen}\,b\):\(\\\)\(\operatorname{sen}(45°-30°) = \\\dfrac{\sqrt{2}}{2}\cdot\dfrac{\sqrt{3}}{2} - \dfrac{\sqrt{2}}{2}\cdot\dfrac{1}{2} = \\\dfrac{\sqrt{6}}{4} - \dfrac{\sqrt{2}}{4} = \mathbf{\dfrac{\sqrt{6}-\sqrt{2}}{4}}\)"
"1","Calcule \(\cos(15°)\) usando a fórmula de subtração \(\cos(45°-30°)\).","\(\dfrac{\sqrt{6}+\sqrt{2}}{4}\)","Aplicando \(\cos(a-b) = \cos a\cos b + \operatorname{sen}\,a\,\operatorname{sen}\,b\):\(\\\)\(\cos(45°-30°) = \\\dfrac{\sqrt{2}}{2}\cdot\dfrac{\sqrt{3}}{2} + \dfrac{\sqrt{2}}{2}\cdot\dfrac{1}{2} = \\\dfrac{\sqrt{6}}{4} + \dfrac{\sqrt{2}}{4} = \mathbf{\dfrac{\sqrt{6}+\sqrt{2}}{4}}\)"
"1","Usando a fórmula de bissecção \(\cos^2 a = \dfrac{1 + \cos(2a)}{2}\), calcule \(\cos^2(30°)\).","\(\dfrac{3}{4}\)","Fazendo \(a = 30°\), temos \(2a = 60°\) e \(\cos(60°) = \dfrac{1}{2}\):\(\\\)\(\cos^2(30°) = \dfrac{1 + \dfrac{1}{2}}{2} = \dfrac{\dfrac{3}{2}}{2} = \mathbf{\dfrac{3}{4}}\)"
"1","Usando a fórmula de bissecção \(\operatorname{sen}^2 a = \dfrac{1 - \cos(2a)}{2}\), calcule \(\operatorname{sen}^2(45°)\).","\(\dfrac{1}{2}\)","Fazendo \(a = 45°\), temos \(2a = 90°\) e \(\cos(90°) = 0\):\(\\\)\(\operatorname{sen}^2(45°) = \dfrac{1 - 0}{2} = \dfrac{1}{2} = \mathbf{\dfrac{1}{2}}\)"
