"nivel","enunciado","resposta","resolucao"
"1","Converta para \(\text{km}\): \(18000\,\text{m}\)","\(18\,\text{km}\)","\(1\,\text{km} = 1000\,\text{m}\), logo dividir por 1000: \(\\\)\(18000 \div 1000 = \mathbf{18}\,\text{km}\)"
"1","Converta para \(\text{cL}\): \(6\,\text{L}\)","\(600\,\text{cL}\)","\(1\,\text{L} = 100\,\text{cL}\), logo multiplicar por 100: \(\\\)\(6 \times 100 = \mathbf{600}\,\text{cL}\)"
"1","Converta para \(\text{km}\): \(10000\,\text{m}\)","\(10\,\text{km}\)","\(1\,\text{km} = 1000\,\text{m}\), logo dividir por 1000: \(\\\)\(10000 \div 1000 = \mathbf{10}\,\text{km}\)"
"1","Converta para \(\text{mm}\): \(4\,\text{cm}\)","\(40\,\text{mm}\)","\(1\,\text{cm} = 10\,\text{mm}\), logo multiplicar por 10: \(\\\)\(4 \times 10 = \mathbf{40}\,\text{mm}\)"
"1","Converta para \(\text{mL}\): \(9\,\text{L}\)","\(9000\,\text{mL}\)","\(1\,\text{L} = 1000\,\text{mL}\), logo multiplicar por 1000: \(\\\)\(9 \times 1000 = \mathbf{9000}\,\text{mL}\)"
"1","Converta para quilogramas \((\text{kg})\): \(8\,\text{t}\)","\(8000\,\text{kg}\)","\(1\,\text{t} = 1000\,\text{kg}\), logo multiplicar por 1000:\(\\\)\(8 \times 1000 = \mathbf{8000}\,\text{kg}\)"
"1","Converta para milímetros \((\text{mm})\): \(29\,\text{cm}\)","\(290\,\text{mm}\)","\(1\,\text{cm} = 10\,\text{mm}\), logo multiplicar por 10:\(\\\)\(29 \times 10 = \mathbf{290}\,\text{mm}\)"
"1","Converta para \(\text{mm}\): \(15\,\text{m}\)","\(15000\,\text{mm}\)","\(1\,\text{m} = 1000\,\text{mm}\), logo multiplicar por 1000: \(\\\)\(15 \times 1000 = \mathbf{15000}\,\text{mm}\)"
"1","Converta para metros \((\text{m})\): \(900\,\text{cm}\)","\(9\,\text{m}\)","\(1\,\text{m} = 100\,\text{cm}\), logo dividir por 100:\(\\\)\(900 \div 100 = \mathbf{9}\,\text{m}\)"
"1","Converta para \(\text{mm}\): \(26\,\text{cm}\)","\(260\,\text{mm}\)","\(1\,\text{cm} = 10\,\text{mm}\), logo multiplicar por 10: \(\\\)\(26 \times 10 = \mathbf{260}\,\text{mm}\)"
"1","Converta para \(\text{mm}\): \(27\,\text{cm}\)","\(270\,\text{mm}\)","\(1\,\text{cm} = 10\,\text{mm}\), logo multiplicar por 10: \(\\\)\(27 \times 10 = \mathbf{270}\,\text{mm}\)"
"1","Converta para \(\text{cm}\): \(6\,\text{m}\)","\(600\,\text{cm}\)","\(1\,\text{m} = 100\,\text{cm}\), logo multiplicar por 100: \(\\\)\(6 \times 100 = \mathbf{600}\,\text{cm}\)"
"1","Converta para \(\text{L}\): \(6\,\text{kL}\)","\(6000\,\text{L}\)","\(1\,\text{kL} = 1000\,\text{L}\), logo multiplicar por 1000: \(\\\)\(6 \times 1000 = \mathbf{6000}\,\text{L}\)"
"1","Converta para \(\text{dm}\): \(7\,\text{m}\)","\(70\,\text{dm}\)","\(1\,\text{m} = 10\,\text{dm}\), logo multiplicar por 10: \(\\\)\(7 \times 10 = \mathbf{70}\,\text{dm}\)"
"1","Converta para \(\text{cm}\): \(460\,\text{mm}\)","\(46\,\text{cm}\)","\(1\,\text{cm} = 10\,\text{mm}\), logo dividir por 10: \(\\\)\(460 \div 10 = \mathbf{46}\,\text{cm}\)"
"1","Converta para \(\text{m}\): \(200\,\text{cm}\)","\(2\,\text{m}\)","\(1\,\text{m} = 100\,\text{cm}\), logo dividir por 100: \(\\\)\(200 \div 100 = \mathbf{2}\,\text{m}\)"
"1","Converta para \(\text{mm}\): \(6\,\text{m}\)","\(6000\,\text{mm}\)","\(1\,\text{m} = 1000\,\text{mm}\), logo multiplicar por 1000: \(\\\)\(6 \times 1000 = \mathbf{6000}\,\text{mm}\)"
"1","Converta para \(\text{mm}\): \(30\,\text{cm}\)","\(300\,\text{mm}\)","\(1\,\text{cm} = 10\,\text{mm}\), logo multiplicar por 10: \(\\\)\(30 \times 10 = \mathbf{300}\,\text{mm}\)"
"1","Converta para \(\text{mg}\): \(18\,\text{g}\)","\(18000\,\text{mg}\)","\(1\,\text{g} = 1000\,\text{mg}\), logo multiplicar por 1000: \(\\\)\(18 \times 1000 = \mathbf{18000}\,\text{mg}\)"
"1","Converta para \(\text{L}\): \(16\,\text{kL}\)","\(16000\,\text{L}\)","\(1\,\text{kL} = 1000\,\text{L}\), logo multiplicar por 1000: \(\\\)\(16 \times 1000 = \mathbf{16000}\,\text{L}\)"
"1","Converta para \(\text{dm}\): \(34\,\text{m}\)","\(340\,\text{dm}\)","\(1\,\text{m} = 10\,\text{dm}\), logo multiplicar por 10: \(\\\)\(34 \times 10 = \mathbf{340}\,\text{dm}\)"
