paragrafo_id	tipo_conteudo	latex_proposto	obs
134972	latex_candidato	Paulo: \(\begin{array}{l}100 \text{ pessoas, } 99 \text{ homens} \\\Rightarrow 99\% \text{ de homens} \\99-1=98 \text{ homens} \\\Rightarrow 98\% \text{ de homens.}\end{array}\) Resposta: 1 homem.<<P>>Hélio: \(\begin{array}{l}\dfrac{99-x}{100-x}=\dfrac{98}{100} \\\dfrac{99-x}{100-x}=0{,}98 \\99-x=98-0{,}98x \\0{,}02x=1 \\x=50\end{array}\) Resposta: 50 homens.<<P>>Rita: \(\begin{array}{l}99 \text{ homens e } 1 \text{ mulher.} \\\text{Depois, } 98\% \text{ de homens} \\\Rightarrow 2\% \text{ de mulheres.}\end{array}\) \(\dfrac{2}{100}x=1\) Resposta: 50 homens.	3 paragrafos (Paulo/Helio/Rita - 3 solucoes distintas em colunas na imagem)
135107	manter_imagem		diagrama de grade quadriculada com celulas pintadas - figura, nao formula
135271	latex_candidato	Classificação por IMC: \(\begin{array}{|l|l|}\hline\textbf{Categoria} & \textbf{IMC} \\\hline\text{Baixo peso} & < 18{,}5 \\\text{Peso adequado} & \geq 18{,}5 \text{ e } < 25 \\\text{Sobrepeso} & \geq 25 \text{ e } < 30 \\\text{Obesidade} & \geq 30 \\\hline\end{array}\)	infografico com silhuetas e cores; dado numerico (faixas de IMC) extraido p/ tabela, imagem permanece pela ilustracao
136060	manter_imagem		duas grades quadriculadas (Figura A/Figura B) parcialmente pintadas - figura, nao formula
136105	latex_candidato	\(15\%\) de desconto.	selo/badge promocional decorativo; dado numerico extraido
136191	latex_candidato	Promoção do dia — Picanha KG: de R$ \(32{,}00\) por R$ \(24{,}00\).	banner decorativo; dado numerico extraido
136420	latex_candidato	\(\begin{array}{|l|c|c|c|c|}\hline\textbf{Nome} & \textbf{Brigadeiros} & \textbf{Beijinhos} & \textbf{Pagamento} & \textbf{Troco} \\\hline\text{Paulo} & 5 & 7 & \text{43 moedas de R\$ 0,25} & \text{R\$ 0,10} \\\text{André} & 6 & 5 & \text{39 moedas de R\$ 0,25} & \text{R\$ 0,20} \\\hline\end{array}\)	tabela de dados
136734	latex_candidato	\(\begin{array}{|l|c|}\hline\textbf{Serviços} & \textbf{Preço em reais} \\\hline\text{Revisão elétrica} & 5x-2{,}00 \\\text{Alinhamento} & 7x+1{,}00 \\\text{Limpeza do carburador} & 9x-7{,}00 \\\text{Troca do filtro do ar condicionado} & 3x+2{,}00 \\\text{Troca do radiador} & 10x-18{,}00 \\\hline\end{array}\)	tabela de dados com expressoes algebricas
136767	latex_candidato	\(\begin{array}{|c|c|c|c|c|}\hline\textbf{Dia} & \textbf{Homens} & \textbf{Mulheres} & \textbf{Crianças} & \textbf{Receita} \\\hline1^\circ & 25 & 32 & 50 & \text{R\$ 1.159,00} \\2^\circ & 0 & 59 & 61 & \text{R\$ 1.196,00} \\3^\circ & 5 & 30 & 43 & \text{R\$ 779,00} \\\hline\end{array}\)	tabela de dados
136781	latex_candidato	\(A=(a_{ij})_{3\times3}=\begin{pmatrix} x & w & 6 \\ y & 12 & 8 \\ z & 10 & t \end{pmatrix}\)	matriz explicita - candidato ideal
137224	latex_candidato	\(\begin{array}{|l|c|c|c|c|c|c|c|c|}\hline\textbf{Notas (R\$)} & 100 & 50 & 20 & 10 & 5 & 2 & 0{,}50 & 0{,}10 \\\hline\textbf{Quantidade} & 3 & 5 & 4 & 7 & 8 & 12 & 18 & 30 \\\hline\end{array}\)	tabela de dados
138663	manter_imagem		fotos de ovos de pascoa (produto) - foto, nao formula
138681	latex_candidato	Oferta — Máquina de Lavar. Preço: R$ \(1.242{,}00\). Plano de pagamento: a terça parte no ato da compra; restante em \(6\) prestações iguais.	caixa de texto decorativa; dado numerico extraido
139009	manter_imagem		reta numerica com marcacoes (-1,5 a 1,5 e um "?") - diagrama de eixo, nao formula
