"nivel","enunciado","resposta","resolucao"
"1","Classifique a seguinte variável estatística: ""Quantidade de erros em uma redação"".","Quantitativa discreta","A variável ""Quantidade de erros em uma redação"" é quantitativa (expressa um valor numérico).\(\\\)Entre as quantitativas: contável → discreta; mensurável → contínua.\(\\\)Esta variável é numérica e contável — assume valores inteiros.\(\\\)Classificação: Quantitativa discreta."
"1","O número de acertos dos alunos em um quiz foi: 3, 6, 15, 6, 6, 7, 4. Qual é a moda?","\(6\)","A moda (Mo) é o valor que aparece com maior frequência no conjunto.\(\\\)Contando as ocorrências em 3, 4, 6, 6, 6, 7, 15:\(\\\)O valor 6 aparece 3 vezes — mais que qualquer outro, que aparecem 1 vez.\(\\\)\(\text{Mo} = \mathbf{6}\)"
"1","As respostas a uma enquete (de 1 a 10) foram: 2, 12, 2, 15, 3, 4, 2. Qual é a moda?","\(2\)","A moda (Mo) é o valor que aparece com maior frequência no conjunto.\(\\\)Contando as ocorrências em 2, 2, 2, 3, 4, 12, 15:\(\\\)O valor 2 aparece 3 vezes — mais que qualquer outro, que aparecem 1 vez.\(\\\)\(\text{Mo} = \mathbf{2}\)"
"1","As pontuações obtidas em um campeonato foram: 12, 38, 5, 28, 7, 4. Qual é a amplitude das pontuações?","\(34\)","A amplitude total é a diferença entre o maior e o menor valor do conjunto:\(\\\)\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A = x_{\max} - x_{\min}}\)\(\\\)No conjunto 12, 38, 5, 28, 7, 4, o maior valor é \(38\) e o menor é \(4\):\(\\\)\(A = 38 - 4 = \mathbf{34}\)"
"1","As quantidades de produtos vendidos por dia foram: 35, 35, 38, 30, 29, 32. Qual é a amplitude das vendas?","\(9\)","A amplitude total é a diferença entre o maior e o menor valor do conjunto:\(\\\)\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A = x_{\max} - x_{\min}}\)\(\\\)No conjunto 35, 35, 38, 30, 29, 32, o maior valor é \(38\) e o menor é \(29\):\(\\\)\(A = 38 - 29 = \mathbf{9}\)"
"1","As idades dos participantes de um evento são: 11, 16, 27, 23, 30, 19. Qual é a amplitude das idades?","\(19\)","A amplitude total é a diferença entre o maior e o menor valor do conjunto:\(\\\)\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A = x_{\max} - x_{\min}}\)\(\\\)No conjunto 11, 16, 27, 23, 30, 19, o maior valor é \(30\) e o menor é \(11\):\(\\\)\(A = 30 - 11 = \mathbf{19}\)"
"1","Classifique a seguinte variável estatística: ""Quantidade de erros em uma redação"".","Quantitativa discreta","A variável ""Quantidade de erros em uma redação"" é quantitativa (expressa um valor numérico).\(\\\)Entre as quantitativas: contável → discreta; mensurável → contínua.\(\\\)Esta variável é numérica e contável — assume valores inteiros.\(\\\)Classificação: Quantitativa discreta."
"1","Classifique a seguinte variável estatística: ""Cor dos olhos"".","Qualitativa nominal","A variável ""Cor dos olhos"" é qualitativa (expressa uma categoria, não um valor numérico).\(\\\)Entre as qualitativas: sem ordem entre categorias → nominal; com ordem → ordinal.\(\\\)Esta variável é categórica e suas categorias não têm ordem entre si.\(\\\)Classificação: Qualitativa nominal."
"1","As notas de uma turma foram: 38, 3, 38, 31, 37, 39. Qual é a amplitude das notas?","\(36\)","A amplitude total é a diferença entre o maior e o menor valor do conjunto:\(\\\)\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A = x_{\max} - x_{\min}}\)\(\\\)No conjunto 38, 3, 38, 31, 37, 39, o maior valor é \(39\) e o menor é \(3\):\(\\\)\(A = 39 - 3 = \mathbf{36}\)"
"1","Os tempos (em minutos) gastos em algumas tarefas foram: 13, 17, 7, 17, 11. Qual é o tempo médio?","\(13\)","A média aritmética simples é a soma de todos os valores dividida pela quantidade de elementos:\(\\\)\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{\bar{x} = \dfrac{x_1 + x_2 + \cdots + x_n}{n}}\)\(\\\)Somando os 5 valores e dividindo por \(n = 5\):\(\\\)\(\bar{x} = \dfrac{13 + 17 + 7 + 17 + 11}{5} = \\ \dfrac{65}{5} = \mathbf{13}\)"
"1","Os tempos (em minutos) gastos em algumas tarefas foram: 6, 9, 13, 9, 3. Qual é o tempo médio?","\(8\)","A média aritmética simples é a soma de todos os valores dividida pela quantidade de elementos:\(\\\)\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{\bar{x} = \dfrac{x_1 + x_2 + \cdots + x_n}{n}}\)\(\\\)Somando os 5 valores e dividindo por \(n = 5\):\(\\\)\(\bar{x} = \dfrac{6 + 9 + 13 + 9 + 3}{5} = \\ \dfrac{40}{5} = \mathbf{8}\)"
"1","Os pontos obtidos por um jogador em cada rodada foram: 6, 19, 11, 17, 2. Qual é a média de pontos por rodada?","\(11\)","A média aritmética simples é a soma de todos os valores dividida pela quantidade de elementos:\(\\\)\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{\bar{x} = \dfrac{x_1 + x_2 + \cdots + x_n}{n}}\)\(\\\)Somando os 5 valores e dividindo por \(n = 5\):\(\\\)\(\bar{x} = \dfrac{6 + 19 + 11 + 17 + 2}{5} = \\ \dfrac{55}{5} = \mathbf{11}\)"
"1","Classifique a seguinte variável estatística: ""Número de páginas de um livro"".","Quantitativa discreta","A variável ""Número de páginas de um livro"" é quantitativa (expressa um valor numérico).\(\\\)Entre as quantitativas: contável → discreta; mensurável → contínua.\(\\\)Esta variável é numérica e contável — assume valores inteiros.\(\\\)Classificação: Quantitativa discreta."
"1","As idades dos participantes de um evento são: 26, 10, 7, 29, 15, 18. Qual é a amplitude das idades?","\(22\)","A amplitude total é a diferença entre o maior e o menor valor do conjunto:\(\\\)\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A = x_{\max} - x_{\min}}\)\(\\\)No conjunto 26, 10, 7, 29, 15, 18, o maior valor é \(29\) e o menor é \(7\):\(\\\)\(A = 29 - 7 = \mathbf{22}\)"
"1","O número de gols marcados por um time em algumas partidas foi: 11, 8, 13, 3, 15. Qual é a média de gols por partida?","\(10\)","A média aritmética simples é a soma de todos os valores dividida pela quantidade de elementos:\(\\\)\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{\bar{x} = \dfrac{x_1 + x_2 + \cdots + x_n}{n}}\)\(\\\)Somando os 5 valores e dividindo por \(n = 5\):\(\\\)\(\bar{x} = \dfrac{11 + 8 + 13 + 3 + 15}{5} = \\ \dfrac{50}{5} = \mathbf{10}\)"
"1","O número de pets por residência em um bairro foi: 12, 15, 5, 2, 2, 2, 7. Qual é a moda?","\(2\)","A moda (Mo) é o valor que aparece com maior frequência no conjunto.\(\\\)Contando as ocorrências em 2, 2, 2, 5, 7, 12, 15:\(\\\)O valor 2 aparece 3 vezes — mais que qualquer outro, que aparecem 1 vez.\(\\\)\(\text{Mo} = \mathbf{2}\)"
"1","As notas obtidas por um grupo de alunos foram: 11, 18, 13, 14, 9. Qual é a média aritmética dessas notas?","\(13\)","A média aritmética simples é a soma de todos os valores dividida pela quantidade de elementos:\(\\\)\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{\bar{x} = \dfrac{x_1 + x_2 + \cdots + x_n}{n}}\)\(\\\)Somando os 5 valores e dividindo por \(n = 5\):\(\\\)\(\bar{x} = \dfrac{11 + 18 + 13 + 14 + 9}{5} = \\ \dfrac{65}{5} = \mathbf{13}\)"
"1","Os tamanhos de camiseta mais pedidos foram registrados como: 14, 2, 2, 8, 2, 9, 10. Qual é a moda?","\(2\)","A moda (Mo) é o valor que aparece com maior frequência no conjunto.\(\\\)Contando as ocorrências em 2, 2, 2, 8, 9, 10, 14:\(\\\)O valor 2 aparece 3 vezes — mais que qualquer outro, que aparecem 1 vez.\(\\\)\(\text{Mo} = \mathbf{2}\)"
"1","O número de clientes atendidos por dia em uma loja foi: 5, 11, 12, 17, 15. Qual é a média diária de clientes?","\(12\)","A média aritmética simples é a soma de todos os valores dividida pela quantidade de elementos:\(\\\)\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{\bar{x} = \dfrac{x_1 + x_2 + \cdots + x_n}{n}}\)\(\\\)Somando os 5 valores e dividindo por \(n = 5\):\(\\\)\(\bar{x} = \dfrac{5 + 11 + 12 + 17 + 15}{5} = \\ \dfrac{60}{5} = \mathbf{12}\)"
"1","As quantidades de gols por jogo de um campeonato foram: 5, 14, 6, 2, 6, 3, 6. Qual é a moda?","\(6\)","A moda (Mo) é o valor que aparece com maior frequência no conjunto.\(\\\)Contando as ocorrências em 2, 3, 5, 6, 6, 6, 14:\(\\\)O valor 6 aparece 3 vezes — mais que qualquer outro, que aparecem 1 vez.\(\\\)\(\text{Mo} = \mathbf{6}\)"
"1","As notas de uma turma em uma prova foram: 15, 6, 6, 8, 3, 9, 6. Qual é a moda das notas?","\(6\)","A moda (Mo) é o valor que aparece com maior frequência no conjunto.\(\\\)Contando as ocorrências em 3, 6, 6, 6, 8, 9, 15:\(\\\)O valor 6 aparece 3 vezes — mais que qualquer outro, que aparecem 1 vez.\(\\\)\(\text{Mo} = \mathbf{6}\)"
"1","As alturas (em cm) de alguns alunos são: 27, 35, 4, 10, 29, 28. Qual é a amplitude das alturas?","\(31\)","A amplitude total é a diferença entre o maior e o menor valor do conjunto:\(\\\)\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A = x_{\max} - x_{\min}}\)\(\\\)No conjunto 27, 35, 4, 10, 29, 28, o maior valor é \(35\) e o menor é \(4\):\(\\\)\(A = 35 - 4 = \mathbf{31}\)"
"1","Classifique a seguinte variável estatística: ""Número de páginas de um livro"".","Quantitativa discreta","A variável ""Número de páginas de um livro"" é quantitativa (expressa um valor numérico).\(\\\)Entre as quantitativas: contável → discreta; mensurável → contínua.\(\\\)Esta variável é numérica e contável — assume valores inteiros.\(\\\)Classificação: Quantitativa discreta."
"1","Os números de calçado vendidos em uma loja foram: 8, 4, 8, 8, 10, 7, 15. Qual é a moda?","\(8\)","A moda (Mo) é o valor que aparece com maior frequência no conjunto.\(\\\)Contando as ocorrências em 4, 7, 8, 8, 8, 10, 15:\(\\\)O valor 8 aparece 3 vezes — mais que qualquer outro, que aparecem 1 vez.\(\\\)\(\text{Mo} = \mathbf{8}\)"
"1","As quantidades de livros emprestados por dia foram: 8, 6, 6, 10, 6, 4, 3. Qual é a moda?","\(6\)","A moda (Mo) é o valor que aparece com maior frequência no conjunto.\(\\\)Contando as ocorrências em 3, 4, 6, 6, 6, 8, 10:\(\\\)O valor 6 aparece 3 vezes — mais que qualquer outro, que aparecem 1 vez.\(\\\)\(\text{Mo} = \mathbf{6}\)"
"1","Classifique a seguinte variável estatística: ""Bairro de residência"".","Qualitativa nominal","A variável ""Bairro de residência"" é qualitativa (expressa uma categoria, não um valor numérico).\(\\\)Entre as qualitativas: sem ordem entre categorias → nominal; com ordem → ordinal.\(\\\)Esta variável é categórica e suas categorias não têm ordem entre si.\(\\\)Classificação: Qualitativa nominal."
