"nivel","enunciado","resposta","resolucao"
"1","Qual o valor de \(a_{1,3}\)? \(A = \begin{bmatrix}-7&-13&-10\\-4&-8&11\\\end{bmatrix}\)","\(-10\)","\(a_{i,j}\) é o elemento da linha \(i\), coluna \(j\). \(\\\)Destacando \(a_{1,3}\): \(\\\)\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\begin{bmatrix}-7&-13&\textcolor{iris}{-10}\\-4&-8&11\\\end{bmatrix}\). \(\\\)\(a_{1,3} = \mathbf{-10}\)"
"1","Qual o valor de \(a_{2,2}\)? \(A = \begin{bmatrix}3&-14&-4\\5&-1&-3\\\end{bmatrix}\)","\(-1\)","\(a_{i,j}\) é o elemento da linha \(i\), coluna \(j\). \(\\\)Destacando \(a_{2,2}\): \(\\\)\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\begin{bmatrix}3&-14&-4\\5&\textcolor{iris}{-1}&-3\\\end{bmatrix}\). \(\\\)\(a_{2,2} = \mathbf{-1}\)"
"1","Qual o valor de \(a_{2,1}\)? \(A = \begin{bmatrix}-4&-7&-9\\1&-12&7\\4&-2&-4\\\end{bmatrix}\)","\(1\)","\(a_{i,j}\) é o elemento da linha \(i\), coluna \(j\). \(\\\)Destacando \(a_{2,1}\): \(\\\)\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\begin{bmatrix}-4&-7&-9\\\textcolor{iris}{1}&-12&7\\4&-2&-4\\\end{bmatrix}\). \(\\\)\(a_{2,1} = \mathbf{1}\)"
"1","Qual o valor de \((A^T)_{3,2}\)? \(A = \begin{bmatrix}3&-5&6\\13&0&10\\\end{bmatrix}\)","\(10\)","A transposta troca linhas por colunas: \((A^T)_{i,j} = a_{j,i}\). \(\\\)\(A^T = \begin{bmatrix}3&13\\-5&0\\6&10\\\end{bmatrix}\). \(\\\)\((A^T)_{3,2} = a_{2,3} = \mathbf{10}\)"
"1","Qual o valor de \((A^T)_{2,1}\)? \(A = \begin{bmatrix}0&14\\-6&13\\0&14\\\end{bmatrix}\)","\(14\)","A transposta troca linhas por colunas: \((A^T)_{i,j} = a_{j,i}\). \(\\\)\(A^T = \begin{bmatrix}0&-6&0\\14&13&14\\\end{bmatrix}\). \(\\\)\((A^T)_{2,1} = a_{1,2} = \mathbf{14}\)"
"1","Se \(A-B=C\), qual a soma dos elementos de \(C\)? \(A=\begin{bmatrix}35&-21&-40\\13&22&-30\\2&-9&15\\\end{bmatrix},~B=\begin{bmatrix}-1&33&28\\-45&-32&3\\49&-12&40\\\end{bmatrix}\)","\(-76\)","\(C=\begin{bmatrix}35-(-1)&-21-33&-40-28\\13-(-45)&22-(-32)&-30-3\\2-49&-9-(-12)&15-40\\\end{bmatrix}\\ \\C=\begin{bmatrix}36&-54&-68\\58&54&-33\\-47&3&-25\\\end{bmatrix}\\ \\\text{Soma}=36-54-68+58+54\\-33-47+3-25=-76\)"
"1","Qual o valor de \(a_{2,1}\)? \(A = \begin{bmatrix}10&-1&-2\\5&-1&12\\3&3&-6\\\end{bmatrix}\)","\(5\)","\(a_{i,j}\) é o elemento da linha \(i\), coluna \(j\). \(\\\)Destacando \(a_{2,1}\): \(\\\)\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\begin{bmatrix}10&-1&-2\\\textcolor{iris}{5}&-1&12\\3&3&-6\\\end{bmatrix}\). \(\\\)\(a_{2,1} = \mathbf{5}\)"
"1","Qual o valor de \((A^T)_{2,3}\)? \(A = \begin{bmatrix}-8&-1\\-14&12\\-9&8\\\end{bmatrix}\)","\(8\)","A transposta troca linhas por colunas: \((A^T)_{i,j} = a_{j,i}\). \(\\\)\(A^T = \begin{bmatrix}-8&-14&-9\\-1&12&8\\\end{bmatrix}\). \(\\\)\((A^T)_{2,3} = a_{3,2} = \mathbf{8}\)"
"1","Se \(A-B=C\), qual a soma dos elementos de \(C\)? \(A=\begin{bmatrix}41&35&16\\-2&42&7\\31&-41&-32\\\end{bmatrix},~B=\begin{bmatrix}12&35&-30\\-25&34&47\\33&27&14\\\end{bmatrix}\)","\(-50\)","\(C=\begin{bmatrix}41-12&35-35&16-(-30)\\-2-(-25)&42-34&7-47\\31-33&-41-27&-32-14\\\end{bmatrix}\\ \\C=\begin{bmatrix}29&0&46\\23&8&-40\\-2&-68&-46\\\end{bmatrix}\\ \\\text{Soma}=29+0+46+23+8\\-40-2-68-46=-50\)"
"1","Se \(A+B=C\), qual a soma dos elementos de \(C\)? \(A=\begin{bmatrix}-49&-46&-25\\-12&47&-43\\\end{bmatrix},~B=\begin{bmatrix}-42&31&-40\\17&44&-25\\\end{bmatrix}\)","\(-143\)","\(C=\begin{bmatrix}-49-42&-46+31&-25-40\\-12+17&47+44&-43-25\\\end{bmatrix}\\ \\C=\begin{bmatrix}-91&-15&-65\\5&91&-68\\\end{bmatrix}\\ \\\text{Soma}=-91-15-65\\+5+91-68=-143\)"
"1","Se \(6 \cdot A=B\), qual a soma dos elementos de \(B\)? \(A=\begin{bmatrix}46&32&42\\13&24&22\\48&0&20\\\end{bmatrix}\)","\(1482\)","\(B=\begin{bmatrix}6 \cdot 46&6 \cdot 32&6 \cdot 42\\6 \cdot 13&6 \cdot 24&6 \cdot 22\\6 \cdot 48&6 \cdot 0&6 \cdot 20\\\end{bmatrix}\\ \\B=\begin{bmatrix}276&192&252\\78&144&132\\288&0&120\\\end{bmatrix}\\ \\\text{Soma}=276+192+252+78+144\\+132+288+0+120=1482\)"
