"nivel","enunciado","resposta","resolucao"
"1","Um polígono regular de \(9\) lados tem lado medindo \(4\). Qual é o seu perímetro? [imagem]","\(36\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P = n \cdot l}\)\(\\\)\(P = 9 \times 4 = \mathbf{36}\)"
"1","Um polígono regular de \(10\) lados tem lado medindo \(5\). Qual é o seu perímetro? [imagem]","\(50\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P = n \cdot l}\)\(\\\)\(P = 10 \times 5 = \mathbf{50}\)"
"1","Um polígono regular de \(3\) lados tem lado medindo \(4\). Qual é o seu perímetro? [imagem]","\(12\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P = n \cdot l}\)\(\\\)\(P = 3 \times 4 = \mathbf{12}\)"
"1","Um hexágono regular tem lado \(4\). Sabendo que sua área é \(x\sqrt{3}\), qual é o valor de \(x\)? [imagem]","\(24\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A = \dfrac{3\sqrt{3}}{2}\,l^2}\)\(\\\)\(A = \dfrac{3\sqrt{3}}{2} \cdot 4^2 = \dfrac{3\sqrt{3}}{2} \cdot 16 = \mathbf{24}\sqrt{3}\)"
"1","Um polígono regular de \(9\) lados tem lado medindo \(4\). Qual é o seu perímetro? [imagem]","\(36\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P = n \cdot l}\)\(\\\)\(P = 9 \times 4 = \mathbf{36}\)"
"1","Qual é a soma dos ângulos internos de um polígono regular de \(3\) lados? [imagem]","\(180\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{S_i = (n-2)\times180^\circ}\)\(\\\)\(S_i = (3 - 2) \times 180^\circ = 1 \times 180^\circ = \mathbf{180^\circ}\)"
"1","Qual é a medida de cada ângulo interno de um polígono regular de \(12\) lados? [imagem]","\(150\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{\alpha_i = \dfrac{(n-2)\times180^\circ}{n}}\)\(\\\)\(\alpha_i = \dfrac{(12 - 2) \times 180^\circ}{12} = \dfrac{1800^\circ}{12} = \mathbf{150^\circ}\)"
"1","Cada ângulo interno de um polígono regular mede \(135^\circ\). Qual é a medida de cada ângulo externo? [imagem]","\(45\)","Os ângulos interno e externo são suplementares: \(\alpha_i + \alpha_e = 180^\circ\)\(\\\)\(\alpha_e = 180^\circ - 135^\circ = \mathbf{45^\circ}\)"
"1","Cada ângulo interno de um polígono regular mede \(144^\circ\). Qual é a medida de cada ângulo externo? [imagem]","\(36\)","Os ângulos interno e externo são suplementares: \(\alpha_i + \alpha_e = 180^\circ\)\(\\\)\(\alpha_e = 180^\circ - 144^\circ = \mathbf{36^\circ}\)"
"1","Cada ângulo interno de um polígono regular mede \(90^\circ\). Qual é a medida de cada ângulo externo? [imagem]","\(90\)","Os ângulos interno e externo são suplementares: \(\alpha_i + \alpha_e = 180^\circ\)\(\\\)\(\alpha_e = 180^\circ - 90^\circ = \mathbf{90^\circ}\)"
"1","Um polígono regular de \(4\) lados tem lado medindo \(5\). Qual é o seu perímetro? [imagem]","\(20\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P = n \cdot l}\)\(\\\)\(P = 4 \times 5 = \mathbf{20}\)"
"1","Cada ângulo interno de um polígono regular mede \(108^\circ\). Qual é a medida de cada ângulo externo? [imagem]","\(72\)","Os ângulos interno e externo são suplementares: \(\alpha_i + \alpha_e = 180^\circ\)\(\\\)\(\alpha_e = 180^\circ - 108^\circ = \mathbf{72^\circ}\)"
"1","Um hexágono regular tem lado \(8\). Sabendo que sua área é \(x\sqrt{3}\), qual é o valor de \(x\)? [imagem]","\(96\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A = \dfrac{3\sqrt{3}}{2}\,l^2}\)\(\\\)\(A = \dfrac{3\sqrt{3}}{2} \cdot 8^2 = \dfrac{3\sqrt{3}}{2} \cdot 64 = \mathbf{96}\sqrt{3}\)"
"1","Um hexágono regular tem lado \(10\). Sabendo que sua área é \(x\sqrt{3}\), qual é o valor de \(x\)? [imagem]","\(150\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A = \dfrac{3\sqrt{3}}{2}\,l^2}\)\(\\\)\(A = \dfrac{3\sqrt{3}}{2} \cdot 10^2 = \dfrac{3\sqrt{3}}{2} \cdot 100 = \mathbf{150}\sqrt{3}\)"
"1","Qual é a medida de cada ângulo externo de um polígono regular de \(9\) lados? [imagem]","\(40\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{\alpha_e = \dfrac{360^\circ}{n}}\)\(\\\)\(\alpha_e = \dfrac{360^\circ}{9} = \mathbf{40^\circ}\)"
"1","Um hexágono regular tem lado \(10\). Sabendo que sua área é \(x\sqrt{3}\), qual é o valor de \(x\)? [imagem]","\(150\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A = \dfrac{3\sqrt{3}}{2}\,l^2}\)\(\\\)\(A = \dfrac{3\sqrt{3}}{2} \cdot 10^2 = \dfrac{3\sqrt{3}}{2} \cdot 100 = \mathbf{150}\sqrt{3}\)"
"1","Qual é a medida de cada ângulo externo de um polígono regular de \(3\) lados? [imagem]","\(120\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{\alpha_e = \dfrac{360^\circ}{n}}\)\(\\\)\(\alpha_e = \dfrac{360^\circ}{3} = \mathbf{120^\circ}\)"
"1","Qual é a soma dos ângulos internos de um polígono regular de \(6\) lados? [imagem]","\(720\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{S_i = (n-2)\times180^\circ}\)\(\\\)\(S_i = (6 - 2) \times 180^\circ = 4 \times 180^\circ = \mathbf{720^\circ}\)"
