"nivel","enunciado","resposta","resolucao"
"1","O número \(3\) é:","Primo","Divisores de \(3\): apenas \(1\) e \(3\). \(\\\) \(\therefore 3\) é primo."
"1","Quantos números primos existem de \(2\) até \(36\)?","\(11\)","Primos até \(36\): \(2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31\). \(\\\) Total: \(\mathbf{11}\)."
"1","Qual é o menor número primo maior que \(75\)?","\(79\)","Testamos os números após \(75\) até achar um primo. \(\\\)\(76,\, 77,\, 78\) são compostos. \(\\\)O primeiro primo é \(\mathbf{79}\)."
"1","Qual é o maior fator primo de \(91\)?","\(13\)","\(\begin{array}[t]{r|l}91 & 7\\13 & 13\\\hline 1 & \\\end{array}\)\(\\\) \(91 = 7 \times 13\) \(\\\) Maior fator primo: \(\mathbf{13}\)"
"1","Qual dos números \(9\), \(13\), \(26\) e \(28\) é primo?","\(13\)","Um número primo tem apenas dois divisores: \(1\) e ele mesmo. \(\\\) \(13\) atende a isso; os demais são compostos (têm outros divisores). \(\\\) Resposta: \(\mathbf{13}\)."
"1","O número \(30\) é primo?","Não","\(30 \div 2 = 15\) (exato). \(\\\) Como é divisível por \(2\), não é primo: \(\mathbf{Não}\)."
"1","Qual dos números \(7\), \(49\), \(17\) e \(11\) é composto?","\(49\)","Um número composto tem outros divisores além de \(1\) e dele mesmo. \(\\\) \(49 \div 7 = 7\) (exato), logo é divisível por \(7\). \(\\\) Resposta: \(\mathbf{49}\)."
"1","Qual dos números \(3\), \(23\), \(41\) e \(4\) é composto?","\(4\)","Um número composto tem outros divisores além de \(1\) e dele mesmo. \(\\\) \(4 \div 2 = 2\) (exato), logo é divisível por \(2\). \(\\\) Resposta: \(\mathbf{4}\)."
"1","O número \(30\) é primo?","Não","\(30 \div 2 = 15\) (exato). \(\\\) Como é divisível por \(2\), não é primo: \(\mathbf{Não}\)."
"1","Quantos números primos existem de \(2\) até \(37\)?","\(12\)","Primos até \(37\): \(2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37\). \(\\\) Total: \(\mathbf{12}\)."
"1","Quantos divisores tem o número \(44\)?","\(6\)","Divisores de \(44\): \(\{1,\, 2,\, 4,\, 11,\, 22,\, 44\}\). \(\\\) Total: \(\mathbf{6}\) divisores."
"1","O número \(58\) é primo?","Não","\(58 \div 2 = 29\) (divisão exata). \(\\\) Como tem o divisor \(2\), não é primo: \(\mathbf{Não}\)."
"1","O número \(31\) é primo?","Sim","\(31\) só é divisível por \(1\) e por ele mesmo. \(\\\) Logo, é primo: \(\mathbf{Sim}\)."
"1","Qual é o maior fator primo de \(28\)?","\(7\)","\(\begin{array}[t]{r|l}28 & 2\\14 & 2\\7 & 7\\\hline 1 & \\\end{array}\)\(\\\) \(28 = 2^2 \times 7\) \(\\\) Maior fator primo: \(\mathbf{7}\)"
"1","O número \(43\) é primo?","Sim","\(43\) só é divisível por \(1\) e por ele mesmo. \(\\\) Logo, é primo: \(\mathbf{Sim}\)."
"1","Qual dos números \(31\), \(7\), \(19\) e \(40\) é composto?","\(40\)","Um número composto tem outros divisores além de \(1\) e dele mesmo. \(\\\) \(40 \div 2 = 20\) (exato), logo é divisível por \(2\). \(\\\) Resposta: \(\mathbf{40}\)."
"1","Qual é o maior número primo menor que \(20\)?","\(19\)","Testamos os números antes de \(20\) até achar um primo. \(\\\)O maior primo menor que \(20\) é \(\mathbf{19}\)."
"1","Qual é a soma de todos os divisores de \(17\)?","\(18\)","Divisores de \(17\) somados: \(\\\) \(1 + 17 = \mathbf{18}\)."
"1","Qual é o maior fator primo de \(165\)?","\(11\)","\(\begin{array}[t]{r|l}165 & 3\\55 & 5\\11 & 11\\\hline 1 & \\\end{array}\)\(\\\) \(165 = 3 \times 5 \times 11\) \(\\\) Maior fator primo: \(\mathbf{11}\)"
"1","Qual é o maior fator primo de \(35\)?","\(7\)","\(\begin{array}[t]{r|l}35 & 5\\7 & 7\\\hline 1 & \\\end{array}\)\(\\\) \(35 = 5 \times 7\) \(\\\) Maior fator primo: \(\mathbf{7}\)"
"1","Qual é o menor fator primo de \(6\)?","\(2\)","\(\begin{array}[t]{r|l}6 & 2\\3 & 3\\\hline 1 & \\\end{array}\)\(\\\) \(6 = 2 \times 3\) \(\\\) Menor fator primo: \(\mathbf{2}\)"
"1","O número \(14\) é primo?","Não","\(14 \div 2 = 7\) (divisão exata). \(\\\) Como tem o divisor \(2\), não é primo: \(\mathbf{Não}\)."
"1","Quantos divisores tem o número \(32\)?","\(6\)","Divisores de \(32\): \(\{1,\, 2,\, 4,\, 8,\, 16,\, 32\}\). \(\\\) Total: \(\mathbf{6}\) divisores."
"1","O número \(28\) é:","Composto","\(28 \div 2 = 14 \Rightarrow\) divisível por \(2\). \(\\\) \(\therefore 28\) é composto."
"1","Qual é o menor fator primo de \(28\)?","\(2\)","\(\begin{array}[t]{r|l}28 & 2\\14 & 2\\7 & 7\\\hline 1 & \\\end{array}\)\(\\\) \(28 = 2^2 \times 7\) \(\\\) Menor fator primo: \(\mathbf{2}\)"
"1","O número \(30\) é primo?","Não","\(30 \div 2 = 15\) (exato). \(\\\) Como é divisível por \(2\), não é primo: \(\mathbf{Não}\)."
"1","Quantos divisores tem o número \(36\)?","\(9\)","Divisores de \(36\): \(\{1,\, 2,\, 3,\, 4,\, 6,\, 9,\, 12,\, 18,\, 36\}\). \(\\\) Total: \(\mathbf{9}\) divisores."
"1","Qual dos números \(2\), \(11\), \(3\) e \(36\) é composto?","\(36\)","Um número composto tem outros divisores além de \(1\) e dele mesmo. \(\\\) \(36 \div 2 = 18\) (exato), logo é divisível por \(2\). \(\\\) Resposta: \(\mathbf{36}\)."
"1","O número \(17\) é primo?","Sim","\(17\) só é divisível por \(1\) e por ele mesmo. \(\\\) Logo, é primo: \(\mathbf{Sim}\)."
"1","O número \(37\) é primo?","Sim","\(37\) só é divisível por \(1\) e por ele mesmo. \(\\\) Logo, é primo: \(\mathbf{Sim}\)."
"2","Dado que \(N = 3^2 \times 11 = 99\), quantos divisores tem \(N\)?","\(6\)","\(\begin{aligned}& N = 3^{2} \times 11^{1}\\& \tau(N) = (2+1) \times (1+1)\\& = 3 \times 2 = \mathbf{6}\end{aligned}\)"
"2","Qual é o menor fator primo de \(111\)?","\(3\)","\(\begin{array}[t]{r|l}111 & 3\\37 & 37\\\hline 1 & \\\end{array}\)\(\\\) \(111 = 3 \times 37\) \(\\\) Menor fator primo: \(\mathbf{3}\)"
"2","Dado que \(N = 3 \times 7 = 21\), quantos divisores tem \(N\)?","\(4\)","\(\begin{aligned}& N = 3^{1} \times 7^{1}\\& \tau(N) = (1+1) \times (1+1)\\& = 2 \times 2 = \mathbf{4}\end{aligned}\)"
"2","Calcule o valor de \(N\), sendo \(N = 3 \times 11^{2}\):","\(363\)","\(\begin{aligned}& N = 3 \times 11^{2}\\& N = 3 \times 121 = \mathbf{363}\end{aligned}\)"
"2","Quantos números primos existem de \(2\) até \(40\)?","\(12\)","Primos até \(40\): \(2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37\). \(\\\) Total: \(\mathbf{12}\)."
"2","Pelo teste de primalidade, o número \(55\) é:","Composto","\(\sqrt{55} \approx 7 \Rightarrow\) testar primos até \(7\): \(2,\, 3,\, 5,\, 7\). \(\\\) \(55 \div 5 = 11\) (exato). \(\\\) \(\therefore 55\) é composto."
"2","Qual é o menor fator primo de \(114\)?","\(2\)","\(\begin{array}[t]{r|l}114 & 2\\57 & 3\\19 & 19\\\hline 1 & \\\end{array}\)\(\\\) \(114 = 2 \times 3 \times 19\) \(\\\) Menor fator primo: \(\mathbf{2}\)"
"2","Qual é a decomposição em fatores primos de \(91\)?","\(7 \times 13\)","\(\begin{array}[t]{r|l}91 & 7\\13 & 13\\\hline 1 & \\\end{array}\)\(\\\) \(91 = 7 \times 13\)"
"2","Quantos divisores tem o número \(N = 3^{5} \times 7^{3}\)?","\(24\)","\(\begin{aligned}& \tau(N) = (5+1)(3+1)\\& = 6 \times 4 = \mathbf{24}\end{aligned}\)"
"2","Quantos divisores tem o número \(99\)?","\(6\)","\(\begin{array}[t]{r|l}99 & 3\\33 & 3\\11 & 11\\\hline 1 & \\\end{array}\)\(\\\) \(99 = 3^2 \times 11\) \(\\\) \(\tau(99) = (2+1)(1+1) = 3 \times 2 = \mathbf{6}\)"
"2","Calcule o valor de \(N\), sendo \(N = 2^{2} \times 7^{2}\):","\(196\)","\(\begin{aligned}& N = 2^{2} \times 7^{2}\\& N = 4 \times 49 = \mathbf{196}\end{aligned}\)"
"2","Quantos números primos existem de \(2\) até \(62\)?","\(18\)","Primos até \(62\): \(2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47, 53, 59, 61\). \(\\\) Total: \(\mathbf{18}\)."
"2","Qual é o menor fator primo de \(98\)?","\(2\)","\(\begin{array}[t]{r|l}98 & 2\\49 & 7\\7 & 7\\\hline 1 & \\\end{array}\)\(\\\) \(98 = 2 \times 7^2\) \(\\\) Menor fator primo: \(\mathbf{2}\)"
"2","Quantos divisores tem o número \(148\)?","\(6\)","\(\begin{array}[t]{r|l}148 & 2\\74 & 2\\37 & 37\\\hline 1 & \\\end{array}\)\(\\\) \(148 = 2^2 \times 37\) \(\\\) \(\tau(148) = (2+1)(1+1) = 3 \times 2 = \mathbf{6}\)"
"2","Os números \(24\) e \(6\) são coprimos (primos entre si)?","Não","Dois números são coprimos quando seu MDC é \(1\). \(\\\) \(\text{MDC}(24,\,6) = 6 > 1\): compartilham fator. \(\\\) Logo, não são coprimos: \(\mathbf{Não}\)."
"2","Qual é a decomposição em fatores primos de \(192\)?","\(2^6 \times 3\)","\(\begin{array}[t]{r|l}192 & 2\\96 & 2\\48 & 2\\24 & 2\\12 & 2\\6 & 2\\3 & 3\\\hline 1 & \\\end{array}\)\(\\\) \(192 = 2^6 \times 3\)"
"2","Os números \(34\) e \(14\) são coprimos (primos entre si)?","Não","Dois números são coprimos quando seu MDC é \(1\). \(\\\) \(\text{MDC}(34,\,14) = 2 > 1\): compartilham fator. \(\\\) Logo, não são coprimos: \(\mathbf{Não}\)."
"2","Quantos números primos existem de \(2\) até \(65\)?","\(18\)","Primos até \(65\): \(2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47, 53, 59, 61\). \(\\\) Total: \(\mathbf{18}\)."
"2","Qual é a decomposição em fatores primos de \(123\)?","\(3 \times 41\)","\(\begin{array}[t]{r|l}123 & 3\\41 & 41\\\hline 1 & \\\end{array}\)\(\\\) \(123 = 3 \times 41\)"
"2","Quantos divisores tem o número \(N = 3^{3} \times 13\)?","\(8\)","\(\begin{aligned}& \tau(N) = (3+1)(1+1)\\& = 4 \times 2 = \mathbf{8}\end{aligned}\)"
"2","Pelo teste de primalidade, o número \(105\) é:","Composto","\(\sqrt{105} \approx 10 \Rightarrow\) testar primos até \(10\): \(2,\, 3,\, 5,\, 7\). \(\\\) \(105 \div 3 = 35\) (exato). \(\\\) \(\therefore 105\) é composto."
