"nivel","enunciado","resposta","resolucao"
"1","Observe o padrão de multiplicações por \(-3\): \(3 \times (-3) = -9\), \(\\\)\(2 \times (-3) = -6\), \(\\\)\(1 \times (-3) = -3\), \(\\\)\(0 \times (-3) = 0\). Qual deve ser o próximo valor? \((-1) \times (-3) = \,?\)","\(3\)","Cada vez que o multiplicador diminui \(1\), o produto aumenta \(+3\): \(\\\)\(\ldots, -6, -3, 0, \ldots\) — o próximo é \(0 + 3 = +3\). \(\\\)Isso confirma: \((-1) \times (-3) = \mathbf{+3}\). \(\\\)Negativo \(\times\) negativo \(=\) positivo!"
"1","Calcule \(100 \div (-10)\).","\(-10\)","\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\)Sinais diferentes: o quociente é negativo. \(\\\)\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\begin{array}[t]{llllll}&1&0&0& & \begin{array}[t]{|l}10 \\ \hline \end{array} \\-&1&0&&&10\\\hline&0&0&0\\\end{array}\\\textcolor{iris}{+}100 \div \textcolor{iris}{-}10 = \textcolor{iris}{-}10\)"
"1","Calcule: \(4 \times 0\)","\(0\)","O \(0\) é o elemento absorvente da multiplicação: qualquer inteiro multiplicado por \(0\) resulta em \(0\). \(\\\)\(4 \times 0 = \mathbf{0}\)"
"1","Observe o padrão de multiplicações por \(-5\): \(3 \times (-5) = -15\), \(\\\)\(2 \times (-5) = -10\), \(\\\)\(1 \times (-5) = -5\), \(\\\)\(0 \times (-5) = 0\). Qual deve ser o próximo valor? \((-1) \times (-5) = \,?\)","\(5\)","Cada vez que o multiplicador diminui \(1\), o produto aumenta \(+5\): \(\\\)\(\ldots, -10, -5, 0, \ldots\) — o próximo é \(0 + 5 = +5\). \(\\\)Isso confirma: \((-1) \times (-5) = \mathbf{+5}\). \(\\\)Negativo \(\times\) negativo \(=\) positivo!"
"1","Calcule o valor da seguinte expressão: \(15 \div 3 =\)","\(5\)","\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\)Sinais iguais: o quociente é positivo. \(\\\)\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\begin{array}[t]{lllll}&1&5& & \begin{array}[t]{|l}3 \\ \hline \end{array} \\-&1&5&&5\\\hline&0&0\\\end{array}\\\textcolor{iris}{+}15 \div \textcolor{iris}{+}3 = \textcolor{iris}{+}5\)"
"1","Calcule: \((-4) \times (-7)\)","\(+28\) — sinais iguais produzem resultado positivo","Sinais iguais: o produto é \(\mathbf{positivo}\). \(\\\)\(|4| \times |7| = 28\) \(\\\)\((-4) \times (-7) = \mathbf{+28}\)"
"1","Sabendo que \((-4) \times (-1) = +4\), qual é o resultado de \(+4 \div (-4)\)?","\(-1\)","\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\)Sinais diferentes: o quociente é negativo. \(\\\)\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\begin{array}[t]{llll}&4& & \begin{array}[t]{|l}4 \\ \hline \end{array} \\-&4&&1\\\hline&0\\\end{array}\\\textcolor{iris}{+}4 \div \textcolor{iris}{-}4 = \textcolor{iris}{-}1\)"
"1","Qual é o valor de \(\square\) em \(\square \times 1 = -6\)?","\(-6\)","Para encontrar o fator desconhecido, dividimos o produto pelo fator conhecido: \(\\\)\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\)Sinais diferentes: o quociente é negativo. \(\\\)\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\begin{array}[t]{llll}&6& & \begin{array}[t]{|l}1 \\ \hline \end{array} \\-&6&&6\\\hline&0\\\end{array}\\\textcolor{iris}{-}6 \div \textcolor{iris}{+}1 = \textcolor{iris}{-}6\)"
"1","Qual é o valor de \(\square\) em \(\square \times (-5) = +35\)?","\(-7\)","Para encontrar o fator desconhecido, dividimos o produto pelo fator conhecido: \(\\\)\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\)Sinais diferentes: o quociente é negativo. \(\\\)\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\begin{array}[t]{lllll}&3&5& & \begin{array}[t]{|l}5 \\ \hline \end{array} \\-&3&5&&7\\\hline&0&0\\\end{array}\\\textcolor{iris}{+}35 \div \textcolor{iris}{-}5 = \textcolor{iris}{-}7\)"
"1","Calcule: \((-9) \times (-4)\)","\(+36\) — sinais iguais produzem resultado positivo","Sinais iguais: o produto é \(\mathbf{positivo}\). \(\\\)\(|9| \times |4| = 36\) \(\\\)\((-9) \times (-4) = \mathbf{+36}\)"
"1","Calcule \(36 \div 4\).","\(9\)","\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\)Sinais iguais: o quociente é positivo. \(\\\)\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\begin{array}[t]{lllll}&3&6& & \begin{array}[t]{|l}4 \\ \hline \end{array} \\-&3&6&&9\\\hline&0&0\\\end{array}\\\textcolor{iris}{+}36 \div \textcolor{iris}{+}4 = \textcolor{iris}{+}9\)"
"1","Uma pessoa tem \(5\) dívidas de R$\,46 cada. Qual é o saldo total (em reais)?","\(-230\)","\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\)Sinais diferentes: o produto é negativo. \(\\\)\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\begin{array}[t]{rrrr}&&&5\\ \times &&4&6\\\hline&&3&0\\+&2&0&0\\\hline&2&3&0\\\end{array}\\\textcolor{iris}{+}5 \times \textcolor{iris}{-}46 = \textcolor{iris}{-}230\)"
"1","A temperatura cai \(2\,°C\) por hora. Qual é a variação total da temperatura após \(8\) horas?","\(-16\)","\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\)Sinais diferentes: o produto é negativo. \(\\\)\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\begin{array}[t]{rrr}& \small \textcolor{iris}{1}&\\&&2\\ \times &&8\\\hline&1&6\\\end{array}\\\textcolor{iris}{-}2 \times \textcolor{iris}{+}8 = \textcolor{iris}{-}16\)"
"1","Calcule: \((-3) \times (+5)\)","\(-15\) — sinais diferentes produzem resultado negativo","Sinais diferentes: o produto é \(\mathbf{negativo}\). \(\\\)\(|3| \times |5| = 15\) \(\\\)\((-3) \times (+5) = \mathbf{-15}\)"
"1","Uma pessoa tem \(5\) dívidas de R$\,6 cada. Qual é o saldo total (em reais)?","\(-30\)","\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\)Sinais diferentes: o produto é negativo. \(\\\)\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\begin{array}[t]{rrr}& \small \textcolor{iris}{3}&\\&&5\\ \times &&6\\\hline&3&0\\\end{array}\\\textcolor{iris}{+}5 \times \textcolor{iris}{-}6 = \textcolor{iris}{-}30\)"
"1","Calcule: \(3 \times 1\)","\(3\)","O \(1\) é o elemento neutro da multiplicação: qualquer inteiro multiplicado por \(1\) permanece igual. \(\\\)\(3 \times 1 = \mathbf{3}\)"
"1","Qual é o valor de \((-2)^{2}\)? (Atenção: o sinal está dentro do parêntese.)","\(+4\) — pois o expoente é par","Como o expoente \(2\) é par, o resultado é \(\mathbf{positivo}\). \(\\\)Expandindo: \((-2)^{2} = (-2) \times (-2)\) \(\\\)\(2\) fatores negativos (par) → \(+2^{2} = \mathbf{+4}\) \(\\\)Atenção: \(-2^{2} = -4\) (o \(-\) fora do parêntese não eleva junto)."
"1","Sabendo que \((-3) \times (-5) = +15\), qual é o resultado de \(+15 \div (-3)\)?","\(-5\)","\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\)Sinais diferentes: o quociente é negativo. \(\\\)\(\definecolor{iris}{rgb}{0.39, 0.44, 1} \definecolor{babypink}{rgb}{1, 0.42, 0.52}\begin{array}[t]{lllll}&1&5& & \begin{array}[t]{|l}3 \\ \hline \end{array} \\-&1&5&&5\\\hline&0&0\\\end{array}\\\textcolor{iris}{+}15 \div \textcolor{iris}{-}3 = \textcolor{iris}{-}5\)"
"1","Num quiz, cada chute errado tira \(4\) pontos. Qual a variação após \(5\) chutes errados?","\(-20\)","Multiplicamos a grandeza negativa pela quantidade: \(\\\)\((-4) \times 5 = \mathbf{-20}\)"
