"nivel","enunciado","resposta","resolucao"
"1","Qual o comprimento do arco de círculo de raio \(9\) e ângulo central \(120^\circ\)? [imagem]","\(6\pi\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{\ell = \dfrac{\theta}{360} \cdot 2\pi r}\)\(\\\)\(\ell = \dfrac{120}{360} \cdot 2\pi \cdot 9 \\ \ell = \dfrac{2160}{360}\pi \\ \ell = \mathbf{6}\pi\)"
"1","Qual a área da coroa circular de raio externo \(R=3\) e raio interno \(r=1\)? [imagem]","\(8\pi\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A = \pi \left(R^2 - r^2\right)}\)\(\\\)\(A = \pi \left(3^2 - 1^2\right) \\ A = \pi \left(9 - 1\right) \\ A = \mathbf{8}\pi\)"
"1","Qual a área do círculo de raio \(2\)? [imagem]","\(4\pi\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A = \pi r^2}\)\(\\\)\(A = \pi \cdot 2^2 = \mathbf{4}\pi\)"
"1","Qual o comprimento da circunferência de diâmetro \(17\)? [imagem]","\(17\pi\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{C = \pi d}\)\(\\\)\(C = \pi \cdot 17 = \mathbf{17}\pi\)"
"1","Qual a área do círculo de raio \(7\)? [imagem]","\(49\pi\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A = \pi r^2}\)\(\\\)\(A = \pi \cdot 7^2 = \mathbf{49}\pi\)"
"1","Qual o comprimento da circunferência de raio \(5\)? [imagem]","\(10\pi\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{C = 2\pi r}\)\(\\\)\(C = 2\pi \cdot 5 = \mathbf{10}\pi\)"
"1","Qual o comprimento do arco de círculo de raio \(3\) e ângulo central \(120^\circ\)? [imagem]","\(2\pi\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{\ell = \dfrac{\theta}{360} \cdot 2\pi r}\)\(\\\)\(\ell = \dfrac{120}{360} \cdot 2\pi \cdot 3 \\ \ell = \dfrac{720}{360}\pi \\ \ell = \mathbf{2}\pi\)"
"1","Qual o comprimento da circunferência de raio \(5\)? [imagem]","\(10\pi\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{C = 2\pi r}\)\(\\\)\(C = 2\pi \cdot 5 = \mathbf{10}\pi\)"
"1","Qual o comprimento da circunferência de raio \(6\)? [imagem]","\(12\pi\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{C = 2\pi r}\)\(\\\)\(C = 2\pi \cdot 6 = \mathbf{12}\pi\)"
"1","Qual o comprimento do arco de círculo de raio \(2\) e ângulo central \(90^\circ\)? [imagem]","\(1\pi\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{\ell = \dfrac{\theta}{360} \cdot 2\pi r}\)\(\\\)\(\ell = \dfrac{90}{360} \cdot 2\pi \cdot 2 \\ \ell = \dfrac{360}{360}\pi \\ \ell = \mathbf{1}\pi\)"
"1","Qual a área do círculo de raio \(2\)? [imagem]","\(4\pi\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A = \pi r^2}\)\(\\\)\(A = \pi \cdot 2^2 = \mathbf{4}\pi\)"
"1","Qual o comprimento da circunferência de diâmetro \(12\)? [imagem]","\(12\pi\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{C = \pi d}\)\(\\\)\(C = \pi \cdot 12 = \mathbf{12}\pi\)"
"1","Qual a área do setor circular de raio \(9\) e ângulo central \(120^\circ\)? [imagem]","\(27\pi\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A_s = \dfrac{\theta}{360} \cdot \pi r^2}\)\(\\\)\(A_s = \dfrac{120}{360} \cdot \pi \cdot 9^2 \\ A_s = \dfrac{120 \cdot 81}{360}\pi \\ A_s = \dfrac{9720}{360}\pi = \mathbf{27\pi}\)"
"1","Qual o comprimento da circunferência de diâmetro \(11\)? [imagem]","\(11\pi\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{C = \pi d}\)\(\\\)\(C = \pi \cdot 11 = \mathbf{11}\pi\)"
