paragrafo_id	tipo_conteudo	latex_proposto	obs
28019	manter_imagem		diagrama geométrico (bola de futebol, hexágonos)
28030	manter_imagem		gráfico de barras horizontal (rendimento por setor)
28041	manter_imagem		gráfico de barras horizontal (países, megatoneladas)
28339	manter_imagem		gráfico de funções modulares (f, g, h)
28398	latex_candidato	\(C_1 = \{z \in \mathbb{C}: |z| \leq 1\}\)
28400	latex_candidato	\(C_2 = \left\{z \in \mathbb{C}: |z| \leq \dfrac{\sqrt{2}}{2}\right\}\)
28495	manter_imagem		diagrama de planta (cômodos)
28539	manter_imagem		gráfico de pizza (com rótulos algébricos)
28602	manter_imagem		diagrama geométrico (pentágono com medidas)
28606	latex_candidato	\(\overline{BC}\)	fragmento pequeno (notação de segmento), parte da questão 28599
28615	manter_imagem		gráfico de barras (ingressos vendidos)
28625	manter_imagem		diagrama geométrico (caixa/prisma com dimensões)
28636	manter_imagem		diagrama geométrico (retângulo com lados algébricos)
28647	manter_imagem		diagrama geométrico (retângulo com medida)
28906	manter_imagem		diagrama geométrico (prisma retangular com dimensões)
29142	manter_imagem		figuras geométricas (retângulo e forma estrelada)
29250	manter_imagem		diagrama geométrico (casa com jardim, igual a 24315)
29287	latex_candidato	\(\overline{DE}\)	fragmento pequeno (notação de segmento), parte da questão 29284
29289	latex_candidato	\(\overline{BC}\)	fragmento pequeno, parte da questão 29284
29291	manter_imagem		diagrama geométrico (círculo com triângulo, igual a 24356)
