paragrafo_id_imagem	questao_id	ordem_imagem_original	qtd_novos_paragrafos	novos_ids
132611	132607	2	1	900000763
132741	132738	1	1	900000764
132970	132966	2	1	900000765
132987	132983	2	1	900000766
133244	133240	2	1	900000767
133306	133303	1	1	900000768
133465	133460	3	1	900000769
133592	133589	1	3	900000770,900000771,900000772
133652	133649	1	4	900000773,900000774,900000775,900000776
133755	133752	1	3	900000777,900000778,900000779
133854	133851	1	1	900000780
134064	134061	1	1	900000781
134081	134078	1	1	900000782
134239	134236	1	1	900000783
134421	134418	1	1	900000784
134453	134444	6	1	900000785
134451	134444	5	1	900000786
134464	134461	1	1	900000787
134500	134496	2	1	900000788
134551	134548	1	3	900000789,900000790,900000791
134636	134631	1	1	900000792
