"nivel","enunciado","resposta","resolucao"
"1","Encontre o valor de \(x\): [imagem]","\(50\)","\(x = \dfrac{100}{2} =50\)"
"1","Encontre o valor de \(x\): [imagem]","\(46\)","\(x = 46 \)"
"1","Encontre o valor de \(x\): [imagem]","\(100\)","\(x = 100 \)"
"1","Encontre o valor de \(x\): [imagem]","\(70\)","\(x = 35 \cdot 2 = 70 \)"
"1","Encontre o valor de \(x\): [imagem]","\(39\)","\(x = \dfrac{78}{2} =39\)"
"1","Encontre o valor de \(x\): [imagem]","\(46\)","\(x = \dfrac{92}{2} =46\)"
"1","Encontre o valor de \(x\): [imagem]","\(37\)","\(x = \dfrac{74}{2} =37\)"
"1","Encontre o valor de \(x\): [imagem]","\(40\)","\(x = \dfrac{80}{2} =40\)"
"1","Encontre o valor de \(x\): [imagem]","\(34\)","\(x = \dfrac{68}{2} =34\)"
"1","Um triângulo retângulo está inscrito numa semicircunferência, com a hipotenusa como diâmetro. Um dos ângulos agudos mede \(11^\circ\). Qual é a medida do outro ângulo agudo?","\(79^\circ\)","Pelo Teorema de Tales, o ângulo oposto ao diâmetro é \(90^\circ\). Pela soma dos ângulos do triângulo:\(\\\)\(90^\circ + 11^\circ + x = 180^\circ \\x = 180^\circ - 90^\circ - 11^\circ = \mathbf{79^\circ}\)"
"1","Encontre o valor de \(x\): [imagem]","\(55\)","\(x = \dfrac{110}{2} =55\)"
"1","Um ponto \(P\) sobre uma circunferência forma dois arcos com as extremidades de um diâmetro. Se um dos arcos mede \(41^\circ\), qual é a medida do outro arco?","\(139^\circ\)","Os dois arcos formados pelo diâmetro e o ponto \(P\) somam \(180^\circ\):\(\\\)\(\alpha + \beta = 180^\circ \\41^\circ + \beta = 180^\circ \\\beta = 180^\circ - 41^\circ = \mathbf{139^\circ}\)"
"1","Encontre o valor de \(x\): [imagem]","\(43\)","\(x = 43 \)"
"1","Encontre o valor de \(x\): [imagem]","\(30\)","\(x = 30 \)"
"1","Encontre o valor de \(x\): [imagem]","\(53\)","\(x = \dfrac{106}{2} =53\)"
