paragrafo_id	questao_id	ordem	imagemfile_id	assunto	arquivo_local	status	tipo_conteudo	latex_proposto	obs
8460	8456	2	8459	Sistema de Equações	8460_QuestoesQ//Imagem//125.png	classificado	manter_imagem		grafico de pizza dividido em A/B/C/D - grafico, nao formula
17172	17169	1	17171	Sistema de Equações	17172_QuestoesQ//Imagem//346.png	inserido	latex_candidato	\(\begin{cases}x-y+z=-1 \\x-z=-7 \\2x+3y+z=4\end{cases}\)	sistema de equacoes - candidato ideal
18586	18582	2	18585	Racionais	18586_QuestoesQ//Imagem//381.png	classificado	manter_imagem		fotos de eletrodomesticos (geladeira/fogao) com preco - foto de produto, nao formula
22568	22565	1	22567	Sistema de Equações	22568_QuestoesQ//Imagem//490.png	inserido	latex_candidato	\(\begin{cases}2x+(2+\operatorname{sen}\theta)y+2z=0 \\4x+5y+(3+\operatorname{sen}\theta)z=0 \\x+y+z=0\end{cases}\)	sistema de equacoes - candidato ideal
23753	23749	2	23752	Sistema de Equações	23753_QuestoesQ//Imagem//561.png	classificado	manter_imagem		diagrama de prisma retangular (caixa 3D) com rotulos X, Y, 10cm - figura geometrica, nao formula
26514	26510	2	26513	Sistema de Equações	26514_QuestoesQ//Imagem//661.png	inserido	latex_candidato	\(\dfrac{1}{\sqrt{5}}\left(\dfrac{1+\sqrt{5}}{2}\right)^2-\dfrac{1}{\sqrt{5}}\left(\dfrac{1-\sqrt{5}}{2}\right)^2\)	expressao matematica - candidato ideal
26682	26679	1	26681	Racionais	26682_QuestoesQ//Imagem//674.png	classificado	manter_imagem		reta numerica de 0 a 7/7 com ponto x marcado entre 4/7 e 5/7 - diagrama de eixo, nao formula
27089	27086	1	27088	Racionais	27089_QuestoesQ//Imagem//684.png	classificado	manter_imagem		padrao de triangulos sombreados (figura geometrica) - figura, nao formula
28382	28378	2	28381	Sistema de Equações	28382_QuestoesQ//Imagem//731.png	inserido	latex_candidato	(I) \(\begin{cases}x-y=4 \\x+y=6\end{cases}\) e (II) \(\begin{cases}2x+ay=4 \\bx+y=16\end{cases}\)	dois sistemas de equacoes - candidato ideal
28960	28957	1	28959	Racionais	28960_QuestoesQ//Imagem//747.png	classificado	manter_imagem		diagrama circular dividido em X, 1/3, 1/4 - figura geometrica, nao formula
