"nivel","enunciado","resposta","resolucao"
"1","Se o \(sen~\lambda=\dfrac{11}{24}\) e \(sen~\delta=\dfrac{11}{12}\), qual o valor de x? [imagem]","\(12\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{\dfrac{x}{sen~\lambda} = \dfrac{24}{sen~\delta}}\\\dfrac{x}{\dfrac{11}{24}} = \dfrac{24}{\dfrac{11}{12}}\\x \cdot\dfrac{11}{12} = 24 \cdot \dfrac{11}{24}\\x \cdot\dfrac{11}{12} = 11\\x = 11  \cdot\dfrac{12}{11} = 12\)"
"1","O raio da circunferência circunscrita a um triângulo é \(R = 25\). Sabendo que \(\text{sen}~\chi = \dfrac{7}{25}\), qual o valor de \(x\)?","\(14\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{a = 2R \cdot \text{sen}~A}\\x = 2 \cdot 25 \cdot \dfrac{7}{25}\\x = 14\)"
"1","Se o \(sen~\tau=\dfrac{16}{25}\) e \(sen~\iota=\dfrac{16}{23}\), qual o valor de x? [imagem]","\(23\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{\dfrac{x}{sen~\tau} = \dfrac{25}{sen~\iota}}\\\dfrac{x}{\dfrac{16}{25}} = \dfrac{25}{\dfrac{16}{23}}\\x \cdot\dfrac{16}{23} = 25 \cdot \dfrac{16}{25}\\x \cdot\dfrac{16}{23} = 16\\x = 16  \cdot\dfrac{23}{16} = 23\)"
"1","Se o \(sen~\chi=\dfrac{13}{27}\) e \(sen~\omega=\dfrac{13}{14}\), qual o valor de x? [imagem]","\(14\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{\dfrac{x}{sen~\chi} = \dfrac{27}{sen~\omega}}\\\dfrac{x}{\dfrac{13}{27}} = \dfrac{27}{\dfrac{13}{14}}\\x \cdot\dfrac{13}{14} = 27 \cdot \dfrac{13}{27}\\x \cdot\dfrac{13}{14} = 13\\x = 13  \cdot\dfrac{14}{13} = 14\)"
"1","Se o \(sen~\psi=1\) e \(sen~\lambda=\dfrac{17}{28}\), qual o valor de x? [imagem]","\(28\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{\dfrac{x}{sen~\psi} = \dfrac{17}{sen~\lambda}}\\\dfrac{x}{1} = \dfrac{17}{\dfrac{17}{28}}\\x \cdot\dfrac{17}{28} = 17 \cdot 1\\x \cdot\dfrac{17}{28} = 17\\x = 17  \cdot\dfrac{28}{17} = 28\)"
"1","Se o \(sen~\lambda=1\) e \(sen~\eta=\dfrac{26}{31}\), qual o valor de x? [imagem]","\(31\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{\dfrac{x}{sen~\lambda} = \dfrac{26}{sen~\eta}}\\\dfrac{x}{1} = \dfrac{26}{\dfrac{26}{31}}\\x \cdot\dfrac{26}{31} = 26 \cdot 1\\x \cdot\dfrac{26}{31} = 26\\x = 26  \cdot\dfrac{31}{26} = 31\)"
"1","Se o \(sen~\theta=\dfrac{1}{2}\) e \(sen~\gamma=\dfrac{5}{6}\), qual o valor de x? [imagem]","\(12\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{\dfrac{x}{sen~\theta} = \dfrac{20}{sen~\gamma}}\\\dfrac{x}{\dfrac{1}{2}} = \dfrac{20}{\dfrac{5}{6}}\\x \cdot\dfrac{5}{6} = 20 \cdot \dfrac{1}{2}\\x \cdot\dfrac{5}{6} = 10\\x = 10  \cdot\dfrac{6}{5} = 12\)"
"1","Se o \(sen~\delta=1\) e \(sen~\chi=\dfrac{16}{25}\), qual o valor de x? [imagem]","\(16\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{\dfrac{x}{sen~\chi} = \dfrac{25}{sen~\delta}}\\\dfrac{x}{\dfrac{16}{25}} = \dfrac{25}{1}\\x \cdot1 = 25 \cdot \dfrac{16}{25}\\x \cdot1 = 16\\x = 16  \cdot1 = 16\)"
"1","Se o \(sen~\lambda=1\) e \(sen~\kappa=\dfrac{19}{28}\), qual o valor de x? [imagem]","\(28\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{\dfrac{x}{sen~\lambda} = \dfrac{19}{sen~\kappa}}\\\dfrac{x}{1} = \dfrac{19}{\dfrac{19}{28}}\\x \cdot\dfrac{19}{28} = 19 \cdot 1\\x \cdot\dfrac{19}{28} = 19\\x = 19  \cdot\dfrac{28}{19} = 28\)"
"1","Se o \(sen~\kappa=\dfrac{1}{2}\) e \(sen~\beta=\dfrac{11}{15}\), qual o valor de x? [imagem]","\(22\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{\dfrac{x}{sen~\beta} = \dfrac{15}{sen~\kappa}}\\\dfrac{x}{\dfrac{11}{15}} = \dfrac{15}{\dfrac{1}{2}}\\x \cdot\dfrac{1}{2} = 15 \cdot \dfrac{11}{15}\\x \cdot\dfrac{1}{2} = 11\\x = 11  \cdot2 = 22\)"
