"nivel","enunciado","resposta","resolucao"
"1","Qual a área do losango? [imagem]","\(12\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A=\dfrac{D \cdot d}{2}}\\D=6,\quad d=4\\A=\dfrac{6 \cdot 4}{2}=\dfrac{24}{2}=12\)"
"1","Qual a área do paralelogramo? [imagem]","\(24\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A=b \cdot h}\\b=6,\quad h=4\\A=6 \cdot 4=24\)"
"1","Qual o perímetro do trapézio? [imagem]","\(63\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P=a+b+c+d}\\a=22,\quad b=14,\quad c=12,\quad d=15\\P=22+14+12+15=63\)"
"1","Qual o perímetro do retângulo? [imagem]","\(88\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P=2\cdot (b + h)}\\b=26,\quad h=18\\P=2 \cdot (26+18)=2 \cdot (44)=88\)"
"1","Qual o perímetro do triângulo? [imagem]","\(52\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P=2 \cdot a + b}\\a=15,\quad b=22\\P=2 \cdot15+22=30+22=52\)"
"1","Qual o perímetro do triângulo? [imagem]","\(73\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P=a + b + c}\\a=18,\quad b=30,\quad c=25\\P=18+30+25=73\)"
"1","Qual a área do retângulo? [imagem]","\(70\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A=b \cdot h}\\b=10,\quad h=7\\A=10 \cdot 7=70\)"
"1","Qual o perímetro do retângulo? [imagem]","\(40\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P=2\cdot (b + h)}\\b=12,\quad h=8\\P=2 \cdot (12+8)=2 \cdot (20)=40\)"
"1","Qual o perímetro do triângulo? [imagem]","\(90\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P=3 \cdot l}\\l=30\\P=3 \cdot30=90\)"
"1","Qual o perímetro do triângulo? [imagem]","\(49\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P=a + b + c}\\a=10,\quad b=18,\quad c=21\\P=10+18+21=49\)"
"1","Qual a área do retângulo? [imagem]","\(126\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A=b \cdot h}\\b=14,\quad h=9\\A=14 \cdot 9=126\)"
"1","Qual a área do quadrado? [imagem]","\(64\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A=l^2}\\l=8\\A=8^2=8 \cdot 8=64\)"
"1","Qual o perímetro do retângulo? [imagem]","\(54\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P=2\cdot (b + h)}\\b=16,\quad h=11\\P=2 \cdot (16+11)=2 \cdot (27)=54\)"
"1","Qual o perímetro do triângulo? [imagem]","\(36\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P=3 \cdot l}\\l=12\\P=3 \cdot12=36\)"
"1","Qual o perímetro do triângulo? [imagem]","\(66\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P=2 \cdot a + b}\\a=19,\quad b=28\\P=2 \cdot19+28=38+28=66\)"
"1","Qual o perímetro do triângulo? [imagem]","\(18\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P=2 \cdot a + b}\\a=5,\quad b=8\\P=2 \cdot5+8=10+8=18\)"
"1","Qual a área do quadrado? [imagem]","\(16\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A=l^2}\\l=4\\A=4^2=4 \cdot 4=16\)"
"1","Qual o perímetro do triângulo? [imagem]","\(18\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P=a + b + c}\\a=4,\quad b=8,\quad c=6\\P=4+8+6=18\)"
"1","Qual a área do trapézio? [imagem]","\(24\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A=\dfrac{(B+b) \cdot h}{2}}\\B=8,\quad b=4,\quad h=4\\A=\dfrac{(8+4) \cdot 4}{2}=\dfrac{12 \cdot 4}{2}=\dfrac{48}{2}=24\)"
"1","Qual o perímetro do retângulo? [imagem]","\(80\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P=2\cdot (b + h)}\\b=24,\quad h=16\\P=2 \cdot (24+16)=2 \cdot (40)=80\)"
"1","Qual a área do losango? [imagem]","\(165\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A=\dfrac{D \cdot d}{2}}\\D=22,\quad d=15\\A=\dfrac{22 \cdot 15}{2}=\dfrac{330}{2}=165\)"
"1","Qual a área do quadrado? [imagem]","\(144\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A=l^2}\\l=12\\A=12^2=12 \cdot 12=144\)"
"1","Qual o perímetro do triângulo? [imagem]","\(48\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P=2 \cdot a + b}\\a=14,\quad b=20\\P=2 \cdot14+20=28+20=48\)"
"1","Qual o perímetro do losango? [imagem]","\(64\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P=4 \cdot l}\\l=16\\P= 4 \cdot 16=64\)"
"1","Qual a área do paralelogramo? [imagem]","\(126\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A=b \cdot h}\\b=14,\quad h=9\\A=14 \cdot 9=126\)"
"1","Qual a área do triângulo? [imagem]","\(168\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{A=\dfrac{b \cdot h}{2}}\\b=24,\quad h=14\\A=\dfrac{24 \cdot 14}{2}=\dfrac{336}{2}=168\)"
"1","Qual o perímetro do triângulo? [imagem]","\(28\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P=a + b + c}\\a=6,\quad b=10,\quad c=12\\P=6+10+12=28\)"
"1","Qual o perímetro do quadrado? [imagem]","\(44\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P=4 \cdot l}\\l=11\\P= 4 \cdot 11=44\)"
"1","Qual o perímetro do triângulo? [imagem]","\(84\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P=a + b + c}\\a=18,\quad b=30,\quad c=36\\P=18+30+36=84\)"
"1","Qual o perímetro do triângulo? [imagem]","\(53\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P=a + b + c}\\a=13,\quad b=22,\quad c=18\\P=13+22+18=53\)"
"2","Se o perímetro do retângulo é \(80\), qual o valor de \(b\)? [imagem]","\(24\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P=2\cdot (b + h)}\\h=16\\2 \cdot(b + 16)=80\\b + 16=\dfrac{80}{2}=40\\b=40-16=24\\\)"
"2","Se \(r=7\sqrt{2}\), qual o perímetro do quadrado? [imagem]","\(56\)","\(\text{Seja~} d \text{~a diagonal do quadrado}\\d=2r = 2 \cdot7\sqrt{2} = 14\sqrt{2}\\\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{d=l\sqrt{2}},\quad\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{P=4 \cdot l}\\l=14\\P=4 \cdot 14=56\)"
