"nivel","enunciado","resposta","resolucao"
"1","Em qual valor de \(x\) a função \(f(x) = \log_{7}(x)\) se anula?","\(x = 1\)","O zero ocorre quando \(f(x) = 0\): \(\\\)\(\log_{7}(x) = 0 \Leftrightarrow x = 7^0 = \mathbf{1}\) \(\\\)Toda função logarítmica passa pelo ponto \((1,\,0)\)."
"1","A função \(f(x) = \log_{\frac{1}{4}}(x)\) é:","Decrescente","A base é \(\dfrac{1}{4} < 1\), portanto a função é \(\mathbf{decrescente}\): quanto maior \(x\), menor \(f(x)\)."
"1","Em qual valor de \(x\) a função \(f(x) = \log_{4}(x)\) se anula?","\(x = 1\)","O zero ocorre quando \(f(x) = 0\): \(\\\)\(\log_{4}(x) = 0 \Leftrightarrow x = 4^0 = \mathbf{1}\) \(\\\)Toda função logarítmica passa pelo ponto \((1,\,0)\)."
"1","Dada a função \(f(x) = \log_{10}(x)\), calcule \(f(10)\).","\(1\)","Escrever o argumento como potência da base: \(\\\)\(f(10) = \log_{10}(10) = \mathbf{1}\)"
"1","O ponto \((2,\,16)\) pertence ao gráfico de \(g(x) = 4^x\). Sabendo que \(f(x) = \log_{4}(x)\) é a função inversa de \(g\), qual ponto pertence ao gráfico de \(f\)?","\((16,\,2)\)","A função inversa troca domínio e imagem, refletindo o gráfico em torno da reta \(y = x\): \(\\\)Ponto \((c,\,d)\) em \(g\) \(\Rightarrow\) ponto \((d,\,c)\) em \(f\). \(\\\)Portanto: \((2,\,16) \to \mathbf{(16,\,2)}\)"
"1","Dada a função \(f(x) = \log_{10}(x)\), calcule \(f(10)\).","\(1\)","Escrever o argumento como potência da base: \(\\\)\(f(10) = \log_{10}(10) = \mathbf{1}\)"
"1","Em qual valor de \(x\) a função \(f(x) = \log_{4}(x)\) se anula?","\(x = 1\)","O zero ocorre quando \(f(x) = 0\): \(\\\)\(\log_{4}(x) = 0 \Leftrightarrow x = 4^0 = \mathbf{1}\) \(\\\)Toda função logarítmica passa pelo ponto \((1,\,0)\)."
"1","Dada a função \(f(x) = \log_{2}(x)\), calcule \(f(2)\).","\(1\)","Escrever o argumento como potência da base: \(\\\)\(f(2) = \log_{2}(2) = \mathbf{1}\)"
"1","Em qual valor de \(x\) a função \(f(x) = \log_{4}(x)\) se anula?","\(x = 1\)","O zero ocorre quando \(f(x) = 0\): \(\\\)\(\log_{4}(x) = 0 \Leftrightarrow x = 4^0 = \mathbf{1}\) \(\\\)Toda função logarítmica passa pelo ponto \((1,\,0)\)."
"1","Em qual valor de \(x\) a função \(f(x) = \log_{7}(x)\) se anula?","\(x = 1\)","O zero ocorre quando \(f(x) = 0\): \(\\\)\(\log_{7}(x) = 0 \Leftrightarrow x = 7^0 = \mathbf{1}\) \(\\\)Toda função logarítmica passa pelo ponto \((1,\,0)\)."
