"nivel","enunciado","resposta","resolucao"
"1","Dados os pontos \( A(2,\;2) \) e \( B(-2,\;-2) \), qual é o ponto médio do segmento \( \overline{AB} \)?","\((0,\;0)\)","O ponto médio \(M\) de um segmento \(\overline{AB}\) é calculado fazendo a média aritmética das coordenadas dos extremos: \(M = \left(\dfrac{x_A + x_B}{2},\;\dfrac{y_A + y_B}{2}\right)\). \(\\\)Substituindo \(A(2,\;2)\) e \(B(-2,\;-2)\): \(\\\)\(M = \left(\dfrac{2 + (-2)}{2},\;\dfrac{2 + (-2)}{2}\right) =\\ \left(\dfrac{0}{2},\;\dfrac{0}{2}\right) = (0,\;0)\)"
"1","Qual é a distância do ponto \( P(-6,\;-7) \) ao eixo \(x\)?","7","A distância de um ponto a um eixo coordenado é medida perpendicularmente até ele. A distância ao eixo \(x\) é o módulo da ordenada \(|y|\), pois a ordenada indica o afastamento vertical. \(\\\)Portanto: \(d = |-7| = 7\)"
"1","Em qual quadrante está o ponto \( P(2,\;-4) \)?","IV","Identificamos os sinais das coordenadas: \(\\\)\(x = 2\), abscissa positivo, e \(y = -4\), ordenada negativo. \(\\\)Pela definição dos quadrantes: \(\\\)Q. I \(x > 0, y > 0\); \(\\\)Q. II \(x < 0, y > 0\); \(\\\)Q. III \(x < 0, y < 0\); \(\\\)Q. IV \(x > 0, y < 0\). \(\\\)Como \(x > 0\) e \(y < 0\), o ponto P está no Quadrante IV."
"1","Em qual quadrante está o ponto \( P(3,\;3) \)?","I","Identificamos os sinais das coordenadas: \(\\\)\(x = 3\), abscissa positivo, e \(y = 3\), ordenada positivo. \(\\\)Pela definição dos quadrantes: \(\\\)Q. I \(x > 0, y > 0\); \(\\\)Q. II \(x < 0, y > 0\); \(\\\)Q. III \(x < 0, y < 0\); \(\\\)Q. IV \(x > 0, y < 0\). \(\\\)Como \(x > 0\) e \(y > 0\), o ponto P está no Quadrante I."
"1","Em qual quadrante está o ponto \( P(-4,\;-4) \)?","III","Identificamos os sinais das coordenadas: \(\\\)\(x = -4\), abscissa negativo, e \(y = -4\), ordenada negativo. \(\\\)Pela definição dos quadrantes: \(\\\)Q. I \(x > 0, y > 0\); \(\\\)Q. II \(x < 0, y > 0\); \(\\\)Q. III \(x < 0, y < 0\); \(\\\)Q. IV \(x > 0, y < 0\). \(\\\)Como \(x < 0\) e \(y < 0\), o ponto P está no Quadrante III."
"1","Qual é o ponto simétrico de \( P(-1,\;2) \) em relação ao eixo \(x\)?","\((-1,\;-2)\)","A simetria em relação ao eixo \(x\) mantém a abscissa e inverte o sinal da ordenada: \(\\\)\(P(a,\;b) \to P'(a,\;{-b})\\ \) Aplicando ao ponto \(P(-1,\;2)\): \(\\\)\(P' = (-1,\;-2)\)"
"1","Em qual quadrante está o ponto \( P(1,\;-5) \)?","IV","Identificamos os sinais das coordenadas: \(\\\)\(x = 1\), abscissa positivo, e \(y = -5\), ordenada negativo. \(\\\)Pela definição dos quadrantes: \(\\\)Q. I \(x > 0, y > 0\); \(\\\)Q. II \(x < 0, y > 0\); \(\\\)Q. III \(x < 0, y < 0\); \(\\\)Q. IV \(x > 0, y < 0\). \(\\\)Como \(x > 0\) e \(y < 0\), o ponto P está no Quadrante IV."
"1","Dados os pontos \( A(3,\;0) \) e \( B(1,\;6) \), qual é o ponto médio do segmento \( \overline{AB} \)?","\((2,\;3)\)","O ponto médio \(M\) de um segmento \(\overline{AB}\) é calculado fazendo a média aritmética das coordenadas dos extremos: \(M = \left(\dfrac{x_A + x_B}{2},\;\dfrac{y_A + y_B}{2}\right)\). \(\\\)Substituindo \(A(3,\;0)\) e \(B(1,\;6)\): \(\\\)\(M = \left(\dfrac{3 + 1}{2},\;\dfrac{0 + 6}{2}\right) =\\ \left(\dfrac{4}{2},\;\dfrac{6}{2}\right) = (2,\;3)\)"
"1","Em qual quadrante está o ponto \( P(5,\;-4) \)?","IV","Identificamos os sinais das coordenadas: \(\\\)\(x = 5\), abscissa positivo, e \(y = -4\), ordenada negativo. \(\\\)Pela definição dos quadrantes: \(\\\)Q. I \(x > 0, y > 0\); \(\\\)Q. II \(x < 0, y > 0\); \(\\\)Q. III \(x < 0, y < 0\); \(\\\)Q. IV \(x > 0, y < 0\). \(\\\)Como \(x > 0\) e \(y < 0\), o ponto P está no Quadrante IV."
"1","Qual é a distância do ponto \( P(-2,\;-7) \) ao eixo \(y\)?","2","A distância de um ponto a um eixo coordenado é medida perpendicularmente até ele. A distância ao eixo \(y\) é o módulo da abscissa \(|x|\), pois a abscissa indica o afastamento horizontal. \(\\\)Portanto: \(d = |-2| = 2\)"
"1","Calcule a distância do ponto \( P(6,\;8) \) à origem \( O(0,\;0) \).","\(10\)","A distância de um ponto \(P(x,\;y)\) à origem \(O(0,\;0)\) é a hipotenusa do triângulo retângulo cujos catetos são \(|x|\) e \(|y|\). Pelo Teorema de Pitágoras: \(\\\) \(d(P,\;O) = \sqrt{x^2 + y^2}\). \(\\\)Substituindo \(x = 6\) e \(y = 8\): \(\\\)\(d = \sqrt{6^2 + 8^2} =\\ \sqrt{36 + 64} = \sqrt{100} = 10\)"
"1","Qual é o ponto simétrico de \( P(-2,\;-6) \) em relação ao eixo \(y\)?","\((2,\;-6)\)","A simetria em relação ao eixo \(y\) inverte o sinal da abscissa e mantém a ordenada: \(\\\)\(P(a,\;b) \to P'({-a},\;b)\\ \) Aplicando ao ponto \(P(-2,\;-6)\): \(\\\)\(P' = (2,\;-6)\)"
"1","Calcule a distância entre os pontos \( A(-1,\;-2) \) e \( B(-5,\;-5) \).","\(5\)","A distância entre dois pontos \(A(x_A,\;y_A)\) e \(B(x_B,\;y_B)\) é dada pela fórmula: \(d(A,B) = \sqrt{(x_B - x_A)^2 + (y_B - y_A)^2}\). \(\\\)Calculando as diferenças: \(x_B - x_A = -5 - (-1) = -4\) e \(y_B - y_A = -5 - (-2) = -3\). \(\\\)Substituindo na fórmula: \(\\\)\(d = \sqrt{(-4)^2 + (-3)^2} = \sqrt{16 + 9} =\\ \sqrt{25} = 5\)"
"1","Dados os pontos \( A(1,\;4) \) e \( B(-5,\;0) \), qual é o ponto médio do segmento \( \overline{AB} \)?","\((-2,\;2)\)","O ponto médio \(M\) de um segmento \(\overline{AB}\) é calculado fazendo a média aritmética das coordenadas dos extremos: \(M = \left(\dfrac{x_A + x_B}{2},\;\dfrac{y_A + y_B}{2}\right)\). \(\\\)Substituindo \(A(1,\;4)\) e \(B(-5,\;0)\): \(\\\)\(M = \left(\dfrac{1 + (-5)}{2},\;\dfrac{4 + 0}{2}\right) =\\ \left(\dfrac{-4}{2},\;\dfrac{4}{2}\right) = (-2,\;2)\)"
"1","Em qual quadrante está o ponto \( P(-7,\;-3) \)?","III","Identificamos os sinais das coordenadas: \(\\\)\(x = -7\), abscissa negativo, e \(y = -3\), ordenada negativo. \(\\\)Pela definição dos quadrantes: \(\\\)Q. I \(x > 0, y > 0\); \(\\\)Q. II \(x < 0, y > 0\); \(\\\)Q. III \(x < 0, y < 0\); \(\\\)Q. IV \(x > 0, y < 0\). \(\\\)Como \(x < 0\) e \(y < 0\), o ponto P está no Quadrante III."
"1","Dados os pontos \( A(-3,\;-2) \) e \( B(3,\;0) \), qual é o ponto médio do segmento \( \overline{AB} \)?","\((0,\;-1)\)","O ponto médio \(M\) de um segmento \(\overline{AB}\) é calculado fazendo a média aritmética das coordenadas dos extremos: \(M = \left(\dfrac{x_A + x_B}{2},\;\dfrac{y_A + y_B}{2}\right)\). \(\\\)Substituindo \(A(-3,\;-2)\) e \(B(3,\;0)\): \(\\\)\(M = \left(\dfrac{-3 + 3}{2},\;\dfrac{-2 + 0}{2}\right) =\\ \left(\dfrac{0}{2},\;\dfrac{-2}{2}\right) = (0,\;-1)\)"
"1","Calcule a distância do ponto \( P(-5,\;12) \) à origem \( O(0,\;0) \).","\(13\)","A distância de um ponto \(P(x,\;y)\) à origem \(O(0,\;0)\) é a hipotenusa do triângulo retângulo cujos catetos são \(|x|\) e \(|y|\). Pelo Teorema de Pitágoras: \(\\\) \(d(P,\;O) = \sqrt{x^2 + y^2}\). \(\\\)Substituindo \(x = -5\) e \(y = 12\): \(\\\)\(d = \sqrt{(-5)^2 + 12^2} =\\ \sqrt{25 + 144} = \sqrt{169} = 13\)"
