"nivel","enunciado","resposta","resolucao"
"1","Qual o valor de \(x\)? \(x, 20, 100, 500\)","\(4\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{a_n=a_1 \cdot q^{(n-1)}}\\n=2, x=a_1, q=\dfrac{100}{20}=5\\20 = x \cdot5^{(2-1)} = x \cdot5^{1}\\20 = x \cdot5\\x = \dfrac{20}{5} = 4\)"
"1","Qual o valor de \(x\)? \(7, x, 63, 189\)","\(21\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{a_n=a_1 \cdot q^{(n-1)}}\\a_1=7, n=2, x=a_2\\q=\dfrac{189}{63}=3\\x = 7\cdot3^{(2-1)} = 7\cdot3^{1}\\x = 7\cdot 3 = 21\)"
"1","Qual o valor de \(x\)? \(5, x, 45, 135\)","\(15\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{a_n=a_1 \cdot q^{(n-1)}}\\a_1=5, n=2, x=a_2\\q=\dfrac{135}{45}=3\\x = 5\cdot3^{(2-1)} = 5\cdot3^{1}\\x = 5\cdot 3 = 15\)"
"1","Quantos termos tem a PG? \(7, 14, \ldots, 448\)","\(7\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{a_n=a_1 \cdot q^{(n-1)}}\\a_1=7, a_n=448, q=\dfrac{14}{7}=2\\448 = 7\cdot 2^{(n-1)}\\\dfrac{448}{7} = 2^{(n-1)}\\64 = 2^{(n-1)}\\2^{6} = 2^{(n-1)}\\n-1 = 6\\n = 6+1 = 7\)"
"1","Qual o valor de \(x\)? \(x, 63, 441, 3087\)","\(9\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{a_n=a_1 \cdot q^{(n-1)}}\\n=2, x=a_1, q=\dfrac{441}{63}=7\\63 = x \cdot7^{(2-1)} = x \cdot7^{1}\\63 = x \cdot7\\x = \dfrac{63}{7} = 9\)"
"1","Quantos termos tem a PG? \(1, 6, \ldots, 216\)","\(4\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{a_n=a_1 \cdot q^{(n-1)}}\\a_1=1, a_n=216, q=\dfrac{6}{1}=6\\216 = 1\cdot 6^{(n-1)}\\\dfrac{216}{1} = 6^{(n-1)}\\216 = 6^{(n-1)}\\6^{3} = 6^{(n-1)}\\n-1 = 3\\n = 3+1 = 4\)"
"1","Quantos termos tem a PG? \(9, 18, \ldots, 144\)","\(5\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{a_n=a_1 \cdot q^{(n-1)}}\\a_1=9, a_n=144, q=\dfrac{18}{9}=2\\144 = 9\cdot 2^{(n-1)}\\\dfrac{144}{9} = 2^{(n-1)}\\16 = 2^{(n-1)}\\2^{4} = 2^{(n-1)}\\n-1 = 4\\n = 4+1 = 5\)"
"1","Qual o valor de \(x\)? \(2, x, 98, 686\)","\(14\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{a_n=a_1 \cdot q^{(n-1)}}\\a_1=2, n=2, x=a_2\\q=\dfrac{686}{98}=7\\x = 2\cdot7^{(2-1)} = 2\cdot7^{1}\\x = 2\cdot 7 = 14\)"
"1","Qual o valor de \(x\)? \(1, 5, x, 125\)","\(25\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{a_n=a_1 \cdot q^{(n-1)}}\\a_1=1, n=3, x=a_3\\q=\dfrac{5}{1}=5\\x = 1\cdot5^{(3-1)} = 1\cdot5^{2}\\x = 1\cdot 25 = 25\)"
"1","Qual o valor de \(x\)? \(10, 30, x, 270\)","\(90\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{a_n=a_1 \cdot q^{(n-1)}}\\a_1=10, n=3, x=a_3\\q=\dfrac{30}{10}=3\\x = 10\cdot3^{(3-1)} = 10\cdot3^{2}\\x = 10\cdot 9 = 90\)"
