"nivel","enunciado","resposta","resolucao"
"1","Encontre a raiz não nula \(3x^2-15x=0\)","\(5\)","Fatorando \(x\) em evidência: \(\\\)\(x\left(3x-15\right)=0\)\(\\\)Produto nulo → \(x_1=0\) ou \(3x-15=0\)\(\\\)\(3x_2-15=0\)\(\\\)\(3x_2=15\)\(\\\)\(x_2=\dfrac{15}{3}=\mathbf{5}\)"
"1","Encontre a raiz positiva \(x^2-25=0\)","\(5\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{ax^2+c=0 \Rightarrow x^2=-\dfrac{c}{a}}\)\(\\\)\(a=1, \quad c=-25\)\(\\\)\(x^2=25 = \\ \)\(x^2=\dfrac{25}{1}=25\)\(\\\)\(x=\pm\sqrt{25}=\pm 5\)\(\\\)A raiz positiva é \(x=\mathbf{5}\)"
"1","Encontre a raiz positiva \(3x^2-3=0\)","\(1\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{ax^2+c=0 \Rightarrow x^2=-\dfrac{c}{a}}\)\(\\\)\(a=3, \quad c=-3\)\(\\\)\(3x^2=3 = \\ \)\(x^2=\dfrac{3}{3}=1\)\(\\\)\(x=\pm\sqrt{1}=\pm 1\)\(\\\)A raiz positiva é \(x=\mathbf{1}\)"
"1","Encontre a raiz maior \(-2x^2-5x+7\)","\(1\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{x=\dfrac{-b \pm \sqrt{\Delta}}{2a}, \quad \Delta = b^2-4ac}\\a=-2,~b=-5,~c=7\\\Delta=(-5)^2-4 \cdot -2 \cdot 7\\ \Delta= 25+56=81\\x_2=\dfrac{-(-5) - \sqrt{81}}{2 \cdot -2}=\dfrac{5 - 9}{-4}\\x_2=\dfrac{-4}{-4}=1\)"
"1","Encontre a raiz maior \(8x^2-43x+57\)","\(3\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{x=\dfrac{-b \pm \sqrt{\Delta}}{2a}, \quad \Delta = b^2-4ac}\\a=8,~b=-43,~c=57\\\Delta=(-43)^2-4 \cdot 8 \cdot 57\\ \Delta= 1849-1824=25\\x_1=\dfrac{-(-43) + \sqrt{25}}{2 \cdot 8}=\dfrac{43 + 5}{16}\\x_1=\dfrac{48}{16}=3\)"
"1","Encontre a raiz maior \(9x^2-64x+112\)","\(4\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{x=\dfrac{-b \pm \sqrt{\Delta}}{2a}, \quad \Delta = b^2-4ac}\\a=9,~b=-64,~c=112\\\Delta=(-64)^2-4 \cdot 9 \cdot 112\\ \Delta= 4096-4032=64\\x_1=\dfrac{-(-64) + \sqrt{64}}{2 \cdot 9}=\dfrac{64 + 8}{18}\\x_1=\dfrac{72}{18}=4\)"
"1","Encontre a raiz positiva \(x^2-49=0\)","\(7\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{ax^2+c=0 \Rightarrow x^2=-\dfrac{c}{a}}\)\(\\\)\(a=1, \quad c=-49\)\(\\\)\(x^2=49 = \\ \)\(x^2=\dfrac{49}{1}=49\)\(\\\)\(x=\pm\sqrt{49}=\pm 7\)\(\\\)A raiz positiva é \(x=\mathbf{7}\)"
"1","Encontre a raiz menor \(8x^2-23x+15\)","\(1\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{x=\dfrac{-b \pm \sqrt{\Delta}}{2a}, \quad \Delta = b^2-4ac}\\a=8,~b=-23,~c=15\\\Delta=(-23)^2-4 \cdot 8 \cdot 15\\ \Delta= 529-480=49\\x_2=\dfrac{-(-23) - \sqrt{49}}{2 \cdot 8}=\dfrac{23 - 7}{16}\\x_2=\dfrac{16}{16}=1\)"
"1","Encontre a raiz positiva \(5x^2-80=0\)","\(4\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{ax^2+c=0 \Rightarrow x^2=-\dfrac{c}{a}}\)\(\\\)\(a=5, \quad c=-80\)\(\\\)\(5x^2=80 = \\ \)\(x^2=\dfrac{80}{5}=16\)\(\\\)\(x=\pm\sqrt{16}=\pm 4\)\(\\\)A raiz positiva é \(x=\mathbf{4}\)"
"1","Encontre a raiz positiva \(4x^2-144=0\)","\(6\)","\(\definecolor{azulEscuro}{rgb}{0.25098039215686274,0.34901960784313724,0.8901960784313725}\textcolor{azulEscuro}{ax^2+c=0 \Rightarrow x^2=-\dfrac{c}{a}}\)\(\\\)\(a=4, \quad c=-144\)\(\\\)\(4x^2=144 = \\ \)\(x^2=\dfrac{144}{4}=36\)\(\\\)\(x=\pm\sqrt{36}=\pm 6\)\(\\\)A raiz positiva é \(x=\mathbf{6}\)"
