"nivel","enunciado","resposta","resolucao"
"1","Calcule: \(7^{3}=\)","\(343\)","\(7^{3}=7\cdot7\cdot7=343\)"
"1","Calcule: \((-5)^{4}\)","625","\((-5)^{4} = (-5) \cdot (-5) \cdot (-5) \cdot (-5)\)\(\\\)Expoente par → sinal positivo.\(\\\)\((-5)^{4} = \mathbf{625}\)"
"1","Calcule: \(2^{3}=\)","\(8\)","\(2^{3}=2\cdot2\cdot2=8\)"
"1","Calcule: \(12^{0}\)","1","Todo número não nulo elevado a \(0\) é igual a \(1\).\(\\\)\(12^{0} = \mathbf{1}\)"
"1","Calcule: \((-3)^{4}\)","81","\((-3)^{4} = (-3) \cdot (-3) \cdot (-3) \cdot (-3)\)\(\\\)Expoente par → sinal positivo.\(\\\)\((-3)^{4} = \mathbf{81}\)"
"1","Calcule: \(15^{0}\)","1","Todo número não nulo elevado a \(0\) é igual a \(1\).\(\\\)\(15^{0} = \mathbf{1}\)"
"1","Calcule: \(10^{2}=\)","\(100\)","\(10^{2}=10\cdot10=100\)"
"1","Calcule: \(4^{2}=\)","\(16\)","\(4^{2}=4\cdot4=16\)"
"1","Calcule: \((-2)^{3}\)","-8","\((-2)^{3} = (-2) \cdot (-2) \cdot (-2)\)\(\\\)Expoente ímpar → sinal negativo.\(\\\)\((-2)^{3} = \mathbf{-8}\)"
"1","Calcule: \(2^{3}=\)","\(8\)","\(2^{3}=2\cdot2\cdot2=8\)"
"1","Calcule: \(13^{0}\)","1","Todo número não nulo elevado a \(0\) é igual a \(1\).\(\\\)\(13^{0} = \mathbf{1}\)"
"1","Calcule: \((-2)^{3}\)","-8","\((-2)^{3} = (-2) \cdot (-2) \cdot (-2)\)\(\\\)Expoente ímpar → sinal negativo.\(\\\)\((-2)^{3} = \mathbf{-8}\)"
"1","Calcule: \(12^{0}\)","1","Todo número não nulo elevado a \(0\) é igual a \(1\).\(\\\)\(12^{0} = \mathbf{1}\)"
"1","Calcule: \(13^{0}\)","1","Todo número não nulo elevado a \(0\) é igual a \(1\).\(\\\)\(13^{0} = \mathbf{1}\)"
